,title,day,genre,story,platform
15,꽃밭에서,화,드라마만화,"행방불명 된 아버지 상완을 애타게 찾던 수아 주인공 . 상완이 실종 된지 1년 째, 병원 측의 연락으로 무사히 상완과 재회한다. 그러나 상완은 교통사고 후유증으로 아무것도 기억하지 못하는 상태였다. 한편, 경찰 측은 상완의 교통사고 현장에서 살해 피해자를 발견해, 당시 현장에 있었던 상완을 용의자로 지목한다. 계속되는 수사 속에 상완을 친 뺑소니 범이 구속되고, 혐의가 풀린 상완은 기억을 되찾는 일에 열중한다. 그러나 기억을 찾으면 찾을수록 과거의 자신에 혼란을 느끼게 되는데",카카오페이지
16,완벽한 세계,화,소년만화,"강대한 몬스터들이 날뛰는 세계, 인간의 존재는 그들 앞에서 작아질 수밖에 없다. 약한 몬스터를 사냥하며 생계를 이어가는 스톤 빌리지의 사람들, 그리고 몬스터의 젖을 먹고 자란 5살배기 괴력 소년 노아. 조용히 살아가려 하는 사람들에게 한차례 또 한차례의 재난이 들이닥치고 천진난만할 수만은 없게 된 노아는 잃어버린 과거의 기억을 되찾고 자신의 운명을 받아들여야만 한다. 약육강식의 세계는 어린 노아에게 위험하기만 한데",카카오페이지
17,나는 너를 모른다,화,드라마만화,"나는 우리가 서로를 잘 알고 있다 착각했다. 드라마 작가 지망생 감사 는 오래 사귄 남자친구 지호 가 같은 동아리 선배인 은경 과 유사 연애를 하고 있단 사실을 알게 되어 이별을 통보한다. 정말 후회할 거다. 란 남자친구의 말을 뒤로 하고 일상으로 돌아간 39 감사 39 . 얼마 뒤, 형사가 찾아온다. 지호 와 은경 과 숨진 채 모텔에서 발견되었으며, 사인은 동반 자살로 추정된다고. 갑작스러운 사고 소식에 마음을 추스릴 정신도 없는 그때, 그전까지는 한 번도 겪어본 적 없는 낯선 일들이 벌어지기 시작한다.",카카오페이지
18,"라이언, 더 라이언","화, 목",드라마만화,"라이언은 원래 사자다?! 아무도 몰랐던 라이언의 컴플렉스, 갈기 없는 사자 라이언의 진짜 속마음 이야기",카카오페이지
19,맨해튼 프로젝트,화,소년만화,"승자가 모든 것을 갖는다. 그래서 무조건 승자가 되어야 한다. 복수의 스케일이 다르다. 거대조직 사이버그룹은 인간의 뇌에서 기억과 재능을 추출해 메모리 재능 칩으로 만들어 타인의 몸에 입 출력 가능한 미네르바칩을 개발한다. 이른바 맨해튼 프로젝트. 금융시장에서 떠오르는 루키로 불리는 라이언은 국제적 감각과 금융지식을 갖춘 천재 , 하지만 파트너의 배신으로 사이버그룹의 실험체가 되어 자신의 전문지식과 재능을 빼앗기고 인생이 순식간에 나락으로 떨어지고 만다. 하지만 완벽한 계획으로 재능칩을 갖고 실험실을 탈출하여 맨해튼 프로젝트를 부술 거대한 복수를 꿈꾸며 홍콩을 향한다. 제공 텐센트",카카오페이지
20,미생 두번째 시즌,화,드라마만화,함께 출근하고 함께 퇴근하겠습니다!,카카오페이지
21,특수요원 무림으로 가다,화,액션무협만화,"특수요원인 하륜은 어느 날 조직에게 배신을 당하고 죽음을 맞게 된다. 눈을 뜬 그 앞에 나타난 비천, 그녀는 그에게 시스템 세계인 구황세계에서 새로운 삶을 시작하라고 한다. 단, 그에게 주어진 임무를 완수해야 그 세계에서 살아남을 수 있다고 하는데 주어진 임무, 수련을 통해 늘어나는 실력, 그는 구황세계에서 무사히 살아남을 수 있을까?",카카오페이지
22,너만 유혹할래,"화, 금",로맨스만화,정우빈은 인기 최고의 양호 선생님이다. 재벌2세 출신에 뛰어난 인품과 외모는 여러 사람을 반하게 한다. 어릴 때부터 모든 여자들에게 그는 34 백마 탄 왕자 였다. 그러나 새 학기부터 처음 만난 김정아에게 인기투표에서 밀려버린다. 백마 탄 왕자의 체면을 만회하기 위해 정우빈은 인기녀 김정아에게 도전하기로 결심한다. 애인력 의 여선생 츤데레 왕자님!! 가슴 두근거리는 로맨틱 코미디가 시작된다.,카카오페이지
23,실험체 7호,화,소년만화,"일반적으로 설명할 수 없는 생물과 사건을 연구하는 39 이상 현상 연구소 39 에서 보디가드로 일하고 있던 유다일은 어느 날 수수께끼의 인물에 의해 죽음에 직면하게 되지만, 시원체 1호의 신체 조직을 이식받아 39 실험체 7호 39 로서 다시 태어나게 된다. 하지만 시원체 1호의 신체 조직을 둘러싼 쟁탈전이 벌어지면서, 점점 그 안에 숨겨진 비밀이 드러나기 시작하는데 ? 과연 유다일은 재앙으로부터 인류와 사랑하는 사람을 지킬 수 있을까?",카카오페이지
24,주정,화,드라마만화,주정이 힘든 사회생활을 견디게 해주는 버팀목은 오직 술 뿐! 어느 날 우연히 천계의 정령이 깃든 명주를 마시고 소주와 맥주 정령과 얽히면서 그녀의 인생에 믿을 수 없는 일들이 펼쳐지는데,카카오페이지
25,난세신벌,화,액션무협만화,"폭군 주황과 요녀 달연의 횡포로 병들고 썩어가는 상나라. 승상부 여식, 류초아도 황궁의 횡포를 피해갈 수 없었다. 바로 승상 류용의 일족을 몰살하란 황명으로 하루아침에 가족을 잃어버린 것! 그 후로 가족의 복수를 위한 칼날을 갈던 중, 아버지와 연이 닿았던 백 가 의 도련님을 만나게 되는데... 궁 내부에선 각종 음모가 난무하고, 궁 밖에선 피 튀기는 결투가 끊이질 않는 세국에서 초아의 복수와 혼돈에 빠진 강호는 과연 어떻게 될 것인가!",카카오페이지
26,북명의 아들,화,드라마만화,"1년 내내 눈보라가 치는 황량한 그곳, 북명에는 월정족과 천랑족이 살고 있었다. 국왕은 이들에게 잘 보이기 위해 공물과 공녀를 바치기로 하는데, 사실 그 공녀들 속에는 실종된 오빠를 찾기 위해 잠입한 여장군이 있었다. 그녀는 실종된 오빠를 찾는 것 외에 북명의 아들 암살 이라는 임무를 받게 된다. 하지만 임무를 수행하다가 그에 얽힌 거대한 음모가 있음을 알게 되는데",카카오페이지
27,8서클 마법사의 환생,화,소년만화,대륙을 통일한 구국의 영웅이자 8서클의 대마법사 헨리 모리스! 친우였던 선대 황제가 죽은 뒤 아들인 현 황제가 귀족의 꼭두각시가 되면서 반역죄로 몰려 어이없이 처형을 당하게 된다. 그리고 모든 것의 끝이라는 죽음을 맞이한 그 순간! 39 헨리 39 라는 같은 이름을 가진 약해 빠진 어느 검사의 몸으로 되살아난다. 34 이번 생에 내가 할일은 정해진 것 같군. 8서클 대마법사이자 소드마스터가 되는 거야! 34 지옥에서 돌아온 헨리의 화려하고 잔혹한 복수극이 지금 시작된다!!!,카카오페이지
28,나빌레라,화,드라마만화,"나이 일흔에 도전을 시작했다. 스물셋, 방황이 시작됐다. 어린 시절 아버지를 따라간 러시아에서 발레를 처음 접한 덕출은 힘겨운 삶이었지만 화목한 가정을 이루어 꿋꿋이 살아가고 있다. 하지만 60년간 가슴에만 품고 살던 발레에 대한 동경과 미련은 커져 가고 남은 생애 꼭 한 번 해보고 싶은 커다란 소망으로 결정하게 된다. 가족, 사람들의 시선을 이겨내고 덕출이 어렵사리 찾아 도움을 구한 곳은 몇 없는 소규모 발레단 39 문경국 발레단 39 . 이 곳에서 덕출은 어쩌면 자기 자신 또는 장성한 자식들의 모습과 너무 닮은 방황하는 24살 청년 채록을 만나게 되고, 채록과 함께 새로운 도전을 시작한다.",카카오페이지
29,선무제존,화,액션무협만화,"정양종 외문 제자 강진성은 임무 중 단전이 파열되고 만다. 종문을 위해 목숨을 바쳤건만 돌아오는 건 격려가 아닌 폐물 취급에 그는 제 발로 종문을 박차고 나가게 되는데... 한순간에 비참한 신세가 되어버린 강진성은 우연히 진화 를 손에 넣게 되고, 그 덕에 순식간에 내력을 회복하게 된 그는 정양종의 적대 종문인 항악종에 입문한다. 과연 강진성은 과거의 설욕을 핏빛 복수로 갚을 수 있을 것인가!",카카오페이지
30,퀘스트: 지상 최고의 산적,"월, 화",액션무협만화,"평범한 대학생이자 게임 매니아였던 정기준. 마인드 오브 밴디트 라는 산적이라는 컨셉을 가진 게임 예약구매에 당첨되어 플레이를 하던 도중, 에서 나온 빛에 의해 정신을 잃고 쓰러진다. 그가 다시 일어났을 땐, 현실이 아닌 바로 마인드 오브 밴디트 의 세계. 심지어 게임을 시작하자마자 멸문당할 예정인 산적단, 섬여단 두목의 아들로 깨어나게 된다. 그러던 중 시스템 안내자라는 여성이 등장하며 위기에 처한 섬여단을 부흥시키지 못하면 로그아웃, 즉 죽음을 맞이하게 된다며 퀘스트를 던져주는데... 깨어나자마자 위기에 봉착한 정기준, 게임 속 세계에서 최강의 산적이 되어 섬여단을 부흥시키기 위한 가슴 뛰는 여정이 시작된다.",카카오페이지
31,천상의 목소리 [매주 화 UP],화,로판만화,"천상의 목소리를 가진 미아는 클럽에서 알바를 하며 겨우 생활비를 해결하는 여대생. 어느 날 절친 가예가 오디션 1차 합격으로 술에 취해 무대에 오를 수 없게 되자 가예 대신 천상의 목소리로 가창력을 한껏 자랑한다. 마침 리드 보컬을 찾던 인기 가수 남지훈은 미아의 목소리를 듣고 반가움에 무대로 뛰어오르지만, 그 무대의 주인공이 가예인 줄 착각하고 결국 리드 보컬 제안은 미아가 아닌 가예가 받는다. 우여곡절 끝에 천상의 목소리는 가예가 아니라 미아라는 걸 알게된 지훈은 캠퍼스 노래자랑에서 1등도 아니고 3등 경품 라면 다섯 상자에 목숨 걸고 무대에 오른 미아를 찾아낸다. 리드 보컬 제안을 받은 미아는 설렘과 환희로 충만하고, 가예의 소리 영혼은 질투로 불타는 주인을 위해 미아의 목소리를 빼앗는다. 정신을 차린 미아는 더는 목소리를 낼 수 없게 되는데... 미아는 다시 천상의 목소리를 되찾아 지훈과 같이 무대에 설 수 있을까... . 39 2017 .. .",카카오페이지
32,로스트 프린세스,화,로판만화,"무인도에서 펼쳐지는 네 남녀의 사랑과 선택 영국, 부유한 상인의 딸 올가는 바다를 사랑했던 아버지와 오빠를 따라 항상 바다로 떠나고 싶은 꿈을 꾸고 있다. 18세를 앞둔 어느 날, 우연히 들어간 술집에서 들은 보물찾기 공고에 올가는 충동적으로 참가를 선언하고 만다. 반대하는 어머니를 설득하기 위해 군인 오스카와 원치 않은 약혼까지 해가며 바다로 나간 올가. 그러나 배는 풍랑을 만나 좌초하게 되고, 올가와 일행은 무인도에 표착하고 마는데 주인공 올가와 동생 노아, 약혼자 오스카, 그리고 술집 주인과 종업원 출신 실버와 로이 이들 각각이 품고 있는 사연과 비밀들이 무인도에서 펼쳐진다!",카카오페이지
33,제자가 될 운명입니다,화,로판만화,"그저 평범한 게임 업계 종사자였던 나는, 어느 날 갑자기 고대로 타임슬립을 하였다. 남들은 공주나 먼치킨 캐릭터로 잘만 신분이 바뀌던데, 난 어찌하여 고작 시골 촌사람인거지?! 그런 내가 본의 아니게 수선계에 발을 들이면서, 최강 냉미남이자 일인자인 옥연 사부님의 제자가 되는데... 이 사람과의 로맨스를 꿈꾸면 되나? 했던 꿈도 잠시, 제자가 되자 마자 난 죽음을 맞이 하게 되었다?? 작가소개 유전은 열문그룹 및 치뎬중문망의 인기 작가이다. 제자가 될 운명입니다 외 5개 작품을 집필했다. 독특한 소재를 이질감 없이 작품에 녹아내며, 풍부한 인물 묘사로 캐릭터에 생동감을 불어 넣어 준다. 현재 중국 텐센트에 연재되고 있는 제자가 될 운명입니다 는 즐겨찾기 44.7만, 조회수 34억에 달한다.",카카오페이지
34,론의 지배자: 회귀하여 세상을 삼키다,"화, 목, 토",소년만화,"이 세계의 최강자였던 아데온은 죽기 전 로스 대륙을 창조하고, 자신이 가진 힘의 원천인 39 론 39 을 로스 대륙에 숨긴다. 39 론 39 을 차지하는 자가 대륙을 통치할지니, 그리하여 많은 모험가들이 로스 대륙에 모여들기 시작했다. 그로부터 100년 뒤... 론의 선택을 받은 소년 39 이든 39 은 적과의 싸움에서 몰래 짝사랑하고 있던 체이샤를 포함한 모든 동료를 잃고 만다. 절망에 빠진 이든은 론과 함께 자폭해 버리는데 정신을 차려 보니 3년 전으로 타임슬립한 것은 물론 39 론 39 도 이든의 손에 있다! 이제 이든의 목표는 단 하나! 동료를 지키고 체이샤 길드를 대륙 최강으로 이끄는 것...!",카카오페이지
35,저스티스 리그,화,소년만화,"새로운 시대의 여명이 밝았다. 메트로폴리스의 슈퍼맨과 고담의 수수께끼 배트맨 같은 슈퍼 히어로들이 세상에 나타나 사람들을 놀라게 하던 시대. 다른 세상으로부터 밀려온 정체를 알 수 없는 침공 때문에 지구는 위기에 처하고, 우리의 슈퍼 히어로들은 힘을 합쳐 그 위기에 맞서야 한다! 슈퍼맨. 배트맨. 원더 우먼. 그린 랜턴. 플래시. 아쿠아맨. 사이보그. 아직 젊고 경험도 부족하지만, 자신감과 패기가 넘치던 그들. 각자의 강력한 능력으로 악에 대응하던 그들이 한데 모였다. 오직 그들만이 지구 정복을 위해 나타난 외계 군주 다크사이드에 맞설 수 있으니 이제 그들이 하나로 뭉쳐 저스티스 리그 가 태어난다! 세상에서 가장 위대한 히어로들이 처음으로 함께한 순간!",카카오페이지
36,천하제일살수,화,액션무협만화,마교주의 진전을 이은 무림맹의 살수. 웅크렸던 몸을 펴고 강호에 나서다! 천하제일살수 이광의 압도적 강호행!,카카오페이지
