,id,title,author,day,genre,story,serial,platform
54,54,타치바나 백작,활기,수,BL,"일제감정기 시대, 조선인 소년 권용현은 매년 여름마다 마을 뒷산에 있는 타치바나 백작저에 초대받는다. 그곳에서 친해진 미스터리한 소년 타치바나 쇼는 저택에서 단 한번도 나가보지 못한채 갇혀있는 신세였고, 권용현은 그런 타치바나 쇼를 도와 저택에서 벗어날 수 있도록 궁리하기 시작하는데..",O,레진코믹스
55,55,바람,반메,수,판타지,"이세계의 경계와 존재를 인지하는 지상계의 생명들. 그 중 인간을 도사, 축생을 요괴라 부른다. 인간 도사 제철, 여우 요괴 문수, 그리고 돗가비 납은 각자의 바람과 운명을 지니고 저승문으로의 여정을 떠나는데... 제3회 세계만화공모전 대상 수상작 바람 , 드디어 그 기나긴 여정이 시작됩니다.",O,레진코믹스
56,56,4와 2분의 1 정거장,팀만나,수,BL,인생에 누구나 한번은 온다는 인기가 많은 시기 가 온 것일까? 밋밋하고 평범한 주원의 인생에 네 명의 매력적인 남자가 다가온다. 과연 주원은 이 매력적인 남자들 중 단 한 명만 선택할 수 있을까? 당신을 바라보는 건 너무 힘들어! 팀 만나 작가의 신작!,O,레진코믹스
57,57,1미터 사이,"김병관, 이은정",수,로맨스,"어느 날 공부밖에 모르는 전교 1등 모범생 단우가 말한다. 호수와 짝을 하고 싶습니다. 강렬한 그 말. 외모, 성적 모든 게 완벽한 남자애가 자신에게 다가온다. 모든 상황이 영 어색한 호수. 인생승리라며 친구들은 축하해주는데, 아무리 생각해도 이 남자애가 수상하다. 넌 부족한 것도 아닌데, 왜 내 옆에 있으려고 해? 날 좋아하는 것도 아니잖아? 의문투성이의 시선으로 봐도 단우는 같은 말만 되풀이 한다. 내 곁에 있어줘. 1미터 사이에만 있으면 돼. 그저 자신의 옆에서 안심한 듯 공부에 열중하는 단우. 완벽해 보였던 그와의 학교 생활은 호수가 전혀 생각하지 못했던 방향으로 흘러간다.",O,레진코믹스
58,58,꽃점 봐 드립니다,주은,수,드라마,"무당할머니에게 물려받은 꽃점 카드로 사람들의 점을 봐주던 승연에게 신기한 능력이 생긴다. 그 능력으로 금방 유명세를 타게 되지만 이를 질투한 검은 실 의 등장으로 곧 위기에 빠지게 되고, 그런 그녀 앞에 한 남자가 나타나는데... 꽃점 보는 여자와 퇴마사 남자의 이색적인 로맨스",O,레진코믹스
59,59,한여름 밤의 꿈,"룡키, 재재 / 박연조","수, 토",판타지,군위군 다례재에 참석한 서준은 만파식적의 힘에 이끌려 고려시대로 가게 된다. 일연스님의 부탁을 받은 서준은 나라를 구하기 위해 도깨비 비형랑과 여행을 떠나는데...,O,레진코믹스
60,60,당신은 나의 신,재해,목,드라마,"소박하게 로또 일등을 꿈꾸는 게임회사 직원 마리아의 앞에 어느 날 바라는 대로 소원 ? 이 이루어지는 황당무계한 사건이 펼쳐진다! 주님, 아무 때나 소원을 들어주지 말고, 로또 일등 되게 해달라고요 !",O,레진코믹스
61,61,소년이 소년에게,엠제이,목,BL,한평생 게이임을 부정해왔던 68세의 노인 권승태는 일기장을 통해 19살의 나와 대화를 나누게 되는데.. 이 말도 안 되는 상황을 이용해 과거를 바꾸려고 미래를 알려주기 시작한다. 감동적인 스토리텔링으로 유명한 어바웃 제인 엠제이 작가님의 신작 !,O,레진코믹스
62,62,아르카나 판타지,포엠 / 유희,목,판타지,온 세상을 장악한 모바일 게임 아르카나판타지. 하지만 이 게임에 접속한 플레이어는 게임 속에 의식이 갇혀버리고 만다. 수많은 피해자들은 흐릿해진 현실과 가상의 경계 속에서 탈출할 수 있을 것인가? 주인공 윤의 파란만장한 이 세계 모험 성장기. 제4회 세계만화공모전 우수상 수상작!,O,레진코믹스
63,63,이름 없는 가게,하몽,목,판타지,"원하는 물건은 뭐든 구해주는 가게? 그러나 그 물건을 사용하는 데는 엄청난 대가가 따른다. 때로는 행복을, 때로는 파멸을 부르는 영력이 담긴 물건들을 다루는 수수께끼의 가게, 그리고 더욱 미스터리한 주인의 정체는 무엇인가!",O,레진코믹스
64,64,구최애로부터 비밀을 사수하라!,네치 / 선마,목,로맨스,"과거 아이돌 팬픽 작가로 꽤 유명했던 민아 는 자신의 글 쓰는 능력을 갈고 닦아 비엘 소설 작가로 데뷔하여 성공한다. 그러던 어느 날 자신이 덕질했던 아이돌 류우빈 이 일반인이 되어 본인의 담당 편집자로 나타난다. 졸지에 덕밍하게 생긴 민아는 그 사실을 감추려 노력하지만, 누군가의 폭로로 인해 자신이 우빈의 극성팬이였던 걸 들키게 되는데...?! 염원하던 아이돌과의 만남은 과연 악연일지, 필연일지?!!",O,레진코믹스
65,65,바나나툰,와나나,목,일상,친구 잘 팔아먹는 만화. 아버지가 극찬하신 ? 만화. 즐거운 와나나의 일상을 바나나 껍질 벗기듯 낱낱이 까보는 만화.,O,레진코믹스
66,66,집사랑,김첨지,목,BL,"박배우 김남팬 김첨지 작가의 화제의 기대 신작! 오로지 남자 집사들만 고용되는 대저택에서 벌어지는 우당탕탕 좌충우돌 해프닝들!! 살짝 까칠하지만 프로페셔널한 집사장 후보 아서, 그리고 그런 아서만을 바라보는 라이언과 당돌한 야망의 소유자 막내 올리버까지..! 이 셋을 포함한 개성 강하고 매력적인 8명의 집사가 주인님을 모시기 위한 노력들을 지켜봐 주세요.",O,레진코믹스
67,67,방과후에 3,권골수,목,미스터리,"방과후에 3부작 대망의 마지막 시리즈! 더 커진 스케일과 갈등. 그리고 뒤늦게 밝혀지는 진실들.. 그는 정말 돌이킬 수 없는 짓을 저질렀을까? 친구들이 살해당하고 위험한 상황 속에서도 침착하게 살인범을 잡아왔던 준휘. 그러나 너무 깊이 관여해 버린 걸까? 살인범들의 조직이 그의 영리함을 주시하게 되면서, 자신도 언젠가 그들처럼 되어버릴까 봐. 불안에 사로잡히고 마는데.. ...이야기는 아무도 없는 폐건물에서 두 달간의 기억이 사라진 상태로 깨며 시작한다.",O,레진코믹스
