,id,title,author,day,genre,story,serial,platform
15,15,구경하는 들러리양,윰윰,화,로맨스,"깨어나보니 내가 가장 좋아하는 소설 속에 들어와 버렸다! 그런데 주인공도 악역도 아닌 눈물 나는 분량의 들러리 라고? 현실에 치여사는 스물 다섯 학원 강사 김혜정! 그런데 즐겨 읽던 소설 세계로 떨어져 소설 속 인물 라테 엑트리 가 된다. 그런데 기왕 들어오게 해 준거 소설 속 미남들과 썸 좀 타는 주인공이 되게 해주지. 여주인공을 괴롭히다 털릴 예정의 조연 라테 엑트리가 되어버리다니! 에휴 그러면 그렇지 내 팔자야. 그래, 기왕 이렇게 된 거 열심히 구경이나 하자! 어차피 소설 보는 재미로 살아왔던 인생! 소설이 눈앞에서 실현된다는데 어찌 마다하겠는가! 팝콘이나 먹으며 구경하지 뭐. 와작! 그런데 조연이었던 라테는 오히려 소설 속에서 자신의 존재감을 점점 내보이게 되는데 ? 소설 속의 들러리양의 파란만장한 구경기가 시작된다!",O,레진코믹스
16,16,오타쿠에게 사랑은 어려워,후지타,화,로맨스,"나루미는 매번 오타쿠라는 이유로 차이고, 그럴 때마다 게임 오타쿠인 히로타카에게 하소연한다. 사귀는 게 아까울 정도로 죽이 잘 맞던 두 사람, 둘의 관계에 변화가 일어나는데! 나라면 아이템 수집이든 렙업이든 얼마든지 같이 해줄거고, 야근해도 기다려 줄거고, 실망시키지도 울리지도 않을 거야. 일본 초인기 연재작 레진 독점 선공개",O,레진코믹스
17,17,안티피티[개정판],이지피,화,BL,해당 작품은 안티피티 성인 버전의 일부 장면을 수정한 개정판입니다. 내 인생은 언젠가 이 때문에 망할거야. 대기업의 촉망받는 엘리트사원 이파람. 그의 최대 약점은 때와 장소를 가리지 않고 쉽게 흥분해버린다는 것. 심지어 몸 좋고 성격 좋은 상사한테 반해서 회사생활이 쉽지만은 않은데.. 어쩌다 사내 피트니스센터의 트레이너한테 잘못 걸려 까지 받게 되다니! 아무도 없는 심야에 시작되는 그들만의 수업. ...이거 정말 맞나요?,O,레진코믹스
18,18,인시크릿[개정판],이파도,화,BL,"해당 작품은 인시크릿 성인 버전의 일부 장면을 수정한 개정판입니다. 회사의 골칫거리였던 인시크릿 멤버 박도진, 그를 유일하게 컨트롤 할 수 있는 멤버 최유원! 두 사람은 나름대로 원만한 팀메이트 관계를 유지하고 있었다. 그날 박도진이 그런 실수를 하기 전까지는",O,레진코믹스
19,19,연화,스튜디오 열일 / 스튜디오 질풍,화,로맨스,고려시대를 배경으로 가상의 이야기를 결합한 퓨전 사극로맨스. 아버지의 복수를 위해 왕을 죽이려는 여자와 그녀를 사랑한 왕의 이야기,X,레진코믹스
20,20,미성년,히눈,화,BL,공부밖에 모르는 모범생 진혁과 일진들 중심에 서있는 임희찬. 진혁은 반 분위기를 흐리는 희찬 무리가 거슬린다. 앞으로 그들을 계속 무시하면서 지내겠다고 다짐을 하지만 하굣길에 희찬이 그의 아버지에게 맞고 있는 장면을 목격하고 마는데 전혀 어울리지 않을 것 같은 두 사람의 관계는 가까워질 수 있을까?,O,레진코믹스
21,21,레그널 트리거,kalma,화,판타지,트레비엔 제국의 채굴장에서 10년간 강제 노역을 한 아렌과 토아. 아렌은 쌍둥이 동생 토아와 함께 그곳을 탈출하려는 계획을 세우지만 토아는 스스로 목숨을 끊어버리고 만다. 자신의 삶에 유일한 희망이었던 토아가 죽자 아렌 또한 스스로 목숨을 끊으려고 한다. 그 순간 나타난 수수께끼의 인물 디드 가 나타난다. 디드는 토아를 되살릴 수 있는 방법이 있다며 자신과 계약을 하자고 하는데 ?,O,레진코믹스
22,22,조만국박람회,조만국,"화, 금",일상,"조만국 일상툰 하겠습니다. 오 조만국 하지만 제 일상은 비밀입니다. ? 조만국 저는 여러분께 제 일상을 공유할 생각이 없습니다. ?!! 원고를 읽고 킹받은 담당 가 퇴사까지 고민하게 만든, 조만국 작가의 신비주의 일상툰!",O,레진코믹스
23,23,용의 아들 최창식,임인스,화,개그,임인스 작가의 용의 아들 최창식 이 레진에 도착했다! 전직 촌장! 현직 용사?! 강력한 마력에 선택 받은 자가 아니면 미동도 일으킬 수 없다는 전설의 검! 그 전설의 검을 노인 최창식이 뽑아 버리고 마는데?!,X,레진코믹스
24,24,그렇게 내가 싫다면[개정판],파고,화,BL,해당 작품은 그렇게 내가 싫다면 성인 버전의 일부 장면을 수정한 개정판입니다. 아웃사이더 복학생 민재는 우연히 과방에서 자고 있는 조교 진한을 몰래 훔쳐보는 후배 형조를 목격한다. 그날 이후 민재는 형조에게 정신적 육체적으로 시달리게 되는데... 서로 싫어하지만 왠지 모르게 끌리는 두 사람. 이들의 관계는 과연 어떻게 될 것인지?,O,레진코믹스
25,25,러브 오어 헤이트[개정판],박담 / 영하,화,BL,"해당 작품은 러브 오어 헤이트 성인 버전의 일부 장면을 수정한 개정판입니다. 부모님의 재혼으로 만나 해서는 안되는 관계를 이어가던 해수와 주원.반복되는 이별과 만남, 다툼과 잠자리 속 무감각해져버린 둘 사이에 태경이 파고들면서 변화는 시작된다.",O,레진코믹스
26,26,나의 수하[개정판],차현,화,BL,"해당 작품은 나의 수하 성인 버전의 일부 장면을 수정한 개정판입니다. 낮에는 유능한 비서 로, 밤에는 유능한 남자 로 이중생활을 즐기는 수하. 칼퇴 후 게이바에서 상대를 거절하고 나오는 순간 문 앞에서 누군가와 부딪히는데 . 몸에 집 한 채는 걸치고 다니는 이 남자... 박지운...이사님?!",O,레진코믹스
27,27,울프 인더 하우스[개정판],박지연,화,BL,해당 작품은 울프 인더 하우스 성인 버전의 일부 장면을 수정한 개정판입니다. 마지못해 사귀어왔던 애인과의 뻔한 이별. 후련한 마음으로 삶의 전환점을 찾던 민석은 대형견 백산이를 임시로 보호하게 된다. 구질구질 구남친 대신 귀여운 멍멍이와 함께 자유를 만끽할 줄 알았는데... 생각보다 많이 엉뚱한 존재가 삶에 들어와버렸다!,O,레진코믹스
28,28,노라줘요 -우리 집 웰시코기 이야기-,라쿠다,화,일상,"역대급으로 귀여운 반려동물 웹툰 탄생!! 아장아장 짧은 다리, 오동통한 엉덩이, 귀여운 미소를 가진 웰시코기 개를 키워 본 이들이라면 모두 공감할 만한 에피소드로 무장한, 읽는 즉시 입꼬리 , 광대승천 보장 애견인의 필수웹툰 일본 트위터 화제의 작품이 드디어 한국 연재 시작!! 본 작품은 1 3화는 컬러 특별판으로 제작되었으며, 그 후에는 부분 컬러, 흑백으로 구성된 작품입니다.",O,레진코믹스
29,29,4컷용사,고지라군,화,판타지,마왕을 해치운 용사는 드디어 공주를 구하고 새 삶을 찾는다. 하지만 공주와의 달콤한 미래는 상상으로 끝나버리고... 마왕 격퇴 이후 평범백수로 전락한 용사의 구차한 일상. 고지라군 작가님의 화제작 4컷용사가 리메이크로 찾아왔다!,O,레진코믹스
30,30,잘 자 내 꿈 꿔,이이런,화,미스터리,"빠알간 창, 교실 복도, 몸을 옭아매던 수십 개의 손가락. 그 소름 끼치던 꿈속은 나의 꿈이 아니었다. 평범한 학생이었던 성하는 겉돌던 같은 반 친구, 이수의 악몽 속에서 깬 이후로 다른 사람들의 꿈이 보이기 시작하는데... 불편한 진실 이이런 작가가 보내드리는 누구나 일어날 수 있는 기묘하고도 흡입력 강한 두 번째 이야기.",O,레진코믹스
31,31,"시선 끝, 30도",소보로 / 여로,화,BL,도진에게 연우는 그저 특이한 애였다. 그러나 언젠가부터 도진의 시선은 연우를 쫓고 있었다. 도진은 어째서 그 애에게 시선을 뗄 수 없는 걸까? 그리고 도진이 느끼는 그 감정은 대체 무엇일까?,O,레진코믹스
32,32,신데렐라 리미트,깨알,화,로맨스,"12시가 울리면 다림의 성별이 변한다!? 이런 상황에서도 그녀는 태후를 도저히 포기할 수가 없다. 그런데 잠깐, 여자 모습으로 공략이 안되면...남자 모습이 있잖아? 본격 이중공략 로맨스 신데렐라 리미트 !",O,레진코믹스
33,33,보름달 식당,김보통,"화, 목",드라마,오늘도 지친 당신에게 필요한 건? 맛있는 밥 한 그릇을 들고 오늘도 보름달식당이 찾아갑니다.,O,레진코믹스
34,34,LOVE WINS,목도리,수,백합,레진챌린지에서 독자들의 정신이 아찔해지게 웃기고 설ㅤㄹㅔㅆ던 선 결혼 후 연애 로맨스!! 동성혼 합법화 소식에 들떠 번개에 나간 모쏠 레즈 이다연. 술에 취해 모르는 여자와 혼인신고를 해버렸다....!?,O,레진코믹스
35,35,피장파장의 오류,나뭇,수,BL,흑역사를 나눈 초등학교 동창의 인연. 성인이 된 후 룸메이트로 만났다? 피장파장 일상의 연속. 과연 사랑도 피장파장이 될 수 있을까..? 이 작품은 사람들과의 관계에 있어 성별에 따른 편견이 없는 세상입니다.,O,레진코믹스
36,36,왓치가이,ASURA / 마사토끼,수,드라마,시간의 왜곡을 감지할 수 있는 소년 성운협은 시간을 멈출 수 있는 소녀 정은하와의 만남으로 인해 시간능력의 본질과 그 능력의 소유자들의 존재에 대해 파고들게 된다. 그러던 중 시간능력이 십수 년 전에 일어난 어떤 사건과 깊숙이 연결되어 있다는 사실을 알게 되는데...,X,레진코믹스
37,37,풀스 리마스터,박담 / 영하,수,BL,"남과 엮이지 않으며 무난한 대학 생활을 해 오던 은기. 어느 날 우연히 마주한 후배 정우의 비밀. 잊으면 그만인데 왜 이렇게 신경이 쓰일까? 러브 오어 헤이트 로 최고 인기를 누리는 영하, 박담 작가의 숨은 명작이 컬러풀한 모습으로 새단장했다!",X,레진코믹스
38,38,니 친구 김저키,김저키,수,일상,악마에게 항문을 판 블록버스터 일상툰,O,레진코믹스
39,39,살맛 : 전생에 나라를 구했습니다[개정판],스튜디오 스텔라즈,수,로맨스,"해당 작품은 살맛 전생에 나라를 구했습니다 성인 버전의 일부 장면을 수정한 개정판입니다. 명문대 교수의 비서로 매일 야근에 시달리는 모태솔로 채이 는 급작스런 교수의 호출로 공항에 도착한다. 그런데 갑자기 헐리웃 스타가 내게 키..키스를? 그것도 모자라 중동의 대부호에게 납치까지..! 갑자기 주위에 온통 미남들이라니... 나, 전생에 나라라도 구했나? 엄마의 남자 스튜디오 스텔라즈의 로맨스 신작.",O,레진코믹스
40,40,삐딱한 기억 사전,김팍새,수,일상,"친구가 내 앞에서 자살하려 한다면 어떻게 해야할까? 지난 날의 우울을 모아 만든 기억 사전. 나, 여기에서, 살아남을 수 있을까? 삶에 이리저리 치이며 무너지지 않게 힘겹게 버티고 있거나, 어쩔 수 없이 무너져버린 나를 보살피고 있는, 혹은 그 누구에게나 공감이 될 수 있는 이야기. 지금 시작합니다.",O,레진코믹스
41,41,소꿉친구가 자꾸 괴롭혀,NAKTA,수,학원,고등학교 2학년 새학기를 맞이하는 한누리. 초등학교 시절 전학 갔던 소꿉친구 강호밀이 같은 반 옆자리 짝꿍으로 돌아왔다! 키 147 로 멈춰버린 자신과 다르게 몇년 새 많은 것이 달라진 호밀. 그의 등장으로 흠칫 긴장하고 덜컹 가슴 뛰는 일상이 시작된다!,O,레진코믹스
42,42,달의 상자,김달,수,판타지,"김달작가가 새롭게 선보이는 단편만화집. 한편 한편이 아라비안나이트의 세헤라자데가 별빛 아래 왕에게 속삭이던 이야기처럼 기묘하고 신비롭다. 이국적인 술탄, 황제의 막내딸, 용의 이야기가 지금 우리의 삶과 겹쳐지어 거울이 된다. 덤덤히 마음을 울리는 그들의 이야기를 들어보자",O,레진코믹스
43,43,차린 건 없지만,심모람,"수, 토",일상,차린 건 없지만 자꾸만 보게 되는 어느 만화가의 식탁.,O,레진코믹스
