,title,day,genre,story,platform
20,폭군 오빠가 셋이래요,수,로판만화,"이름조차 없어 수요일로 불리는 요일 노예, 수요일. 작은 반항에 죽을 위기에 처한 그때, 34 드디어 찾았군. 34 하루아침에 오빠가 셋이나 생겨 버렸다. 아스카니어 황가의 저주를 풀 유일한 열쇠가 나라고? 34 지금 입고 있는 옷이 꽉 끼어서 더는 입지 못하게 될 정도로 건강해질 것.그게 네 첫 번째 숙제란다. 34 걱정 마, 꼬맹아. 못된 악당은 전부 오라버니가 혼내 줄게. 34 병아리 같아. 작고, 약해. 지켜 줄래. 내가 지켜 줄 거야. 그런데 폭군이라고 불리는 오빠들이 왜 나한테만 다정한 건데!? 갑자기 생긴 오빠들의 본격 막내 편애 로맨스, 폭군 오빠가 셋이래요.",카카오페이지
21,쉬고 싶은 레이디,수,로판만화,"왕, 마법사, 악사, 검사, 부호, 거지, 성녀, 마녀... 수없이 전생을 거듭하며 그녀는 천년을 살았다. 때론 세상에서 가장 존귀한 자로, 때론 가장 비천한 자로. 그중에서도 53번째 삶은 손꼽힐 정도로 처참하고 괴로웠다. 그리고 다시 시작된 54번째 삶, 그녀는 지쳤다. 다 귀찮아. 이젠 제발 좀 쉬고 싶어. 이번만큼은 반드시 게으름뱅이 나무늘보의 삶을 살고자 결심했는데... 왜 자꾸 귀찮게 하니... 언니 좀 쉬자.",카카오페이지
22,Retry: 다시 한번 최강 신선으로,"수, 금, 일",소년만화,"수선계에서 북현선존이라는 별호로 불리며, 신선이 되기 위한 수련을 하고 있던 진범은 마지막 단계에서 심마를 이기지 못하고 실패하여 죽음을 맞이한다. 그런데, 눈을 뜬 그가 있는 곳은 그가 수선계로 오기 전에 있었던 현대의 지구! 심지어 스무 살 때의 과거의 자신의 몸에서 정신을 차린 진범은 회귀한 것을 깨닫고 자신이 알고 있는 어두운 미래를 전부 바꾸겠다고 다짐한다. 거기다, 다시 한번 차근차근 최고의 선공으로 수련을 시작하여 이번에야말로 신선이 되겠다고 다짐하는데",카카오페이지
23,정령왕의 딸,수,드라마만화,평범한 대한민국의 여고생인 해인은 어느 날 수영장에 놀러 갔다가 이상한 소용돌이에 휘말려 정신을 잃게 된다. 깨어나 보니 이 세계의 바닷속. 그녀는 자신을 아버지라고 주장하는 정령왕 엘라임과 마주하는데 물의 정령왕인 아버지와 하프 엘프 어머니 사이에서 태어났다는 사실을 알게 된 해인. 그녀는 갑작스럽게 온 이세계에서 살아남을 수 있을까?,카카오페이지
24,쌍둥이 남매의 뉴라이프,수,로판만화,"34 둘의 이름은 아르헨과 아리엔이라고 하지. 34 평범한 고등학생이자 쌍둥이였던 우리. 갑작스러운 사고로 목숨을 잃은 후 시작된 쌍둥이 남매의 인생 2회차! 폭력적인 어머니와 함께 버려진 성에 방치한 얼음장처럼 차가운 아버지, 황제. 남매의 다섯 번째 생일. 아이들 보기를 돌같이 하던 황제가 갑자기 아이들을 찾는다. 34 갑자기 우리를 왜...? 34 믿을 사람이라곤 우리 둘뿐! 쌍둥이 남매의 고군분투 황실에서 살아남기 프로젝트! 웹툰 쌍둥이 남매의 뉴라이프 는 매주 수요일 연재됩니다.",카카오페이지
25,가짜 공녀님의 만렙 토끼,수,로판만화,제국 사교계의 시선을 한몸에 받고있는 39 제르노아 드 란테라 39 공작영애. 그녀는 가짜다! 그녀의 본명은 39 라리사 39 . 가난한 집안을 위해 시장에서 노점장사를 하던 소녀. 가족을 위해 공작에게 팔려와 죽은 공녀를 연기하며 아슬아슬 위태롭게 살고 있다. 그런 가짜 공녀의 품에 안겨있는 흑단같은 털을 가진 토끼. 그 토끼도 가짜다! 토끼의 정체는 대륙 모든 이의 선망을 받는 39 하델룬 드 슈트렐리츠 39 대공. 그는 지옥의 마수들이 기어나오는 마굴을 막고 있는 대공국의 주인이자 영웅이지만 현재 비밀스런 가문의 마법으로 귀여운 토끼가 되어버린 상태. 우연히 라리사에게 구해져 보살핌을 받게 된 대공은 자연스럽게 라리사의 사정을 알게되고 남몰래 그녀를 도와주게 된다. 란테라 공작을 위해 억지로 황태자를 유혹해 혼인해야하는 라리사와 그녀를 돕다 점점 그녀의 진가를 알고 마음에 품게 된 하델룬. 스치는 만남이 운명이 되어 라리사의 삶이 또 한 번 뒤바뀌기 시작한다.,카카오페이지
26,폭군의 보호자는 악역 마녀입니다,수,로판만화,"19금 피폐 로맨스 판타지 소설 속 악역, 무시무시한 마녀에 빙의했다. 스토리에 따르면 마녀는 자신이 키운 폭군 남주인공에게 죽는 운명! 다행히도 남주인공이 태어나려면 아직 200년이나 남은 상황. 34 그럼 느긋하게 대책을 생각해볼까? 34 그러나 200년은 순식간에 지나갔고. 어느새 내 눈앞에서 벌벌 떨며 서 있는 7세의 어린 남주가 말했다. 34 제가 갑자기 찾아와서 곤란해지신 거 알아요. 죄송해요. 절 궁으로 돌려 보내셔도 괜찮아요... 34 뭐야, 이 뽀시래기는...? 어쩌면 나, 조금의 희망은 있는지도?! 음... 우선 잔뜩 겁먹은 이 꼬마부터 달래보자 싶어 내가 할 수 있는 최대한의 상냥함으로 말했다. 34 어처구니가 없구나. 내가 너 같은 꼬마 하나 때문에 곤란해질 사람으로 보이느냐? 그리고 어딜 돌아가겠다는 거야? 갈.곳.도.없.는.주.제.에. 34 34 ...! 34 갑자기 꼬마가 울먹이기 시작했다. ...어라, 이게 아닌가? ! 빙의한 세계에서 벌어진 생존 ! 장차 폭군이 될 예정인 남주를 착한 아이로 키워라 ! 35 로맨스판타지 35 힐링물 35 육아물 35 연상연하 35 빙의물",카카오페이지
27,잘못된 고백,수,로판만화,"고백했다. 맨 정신으로 하기엔 자신이 없어서 딱 한 잔만 걸치고. 34 좋아해요. 34 34 ......왜? 34 34 ...그냥, 모든 게 좋아요. 34 34 ......이해가, 되지 않는데. 34 뭔가 이상했다. 목소리가 낮았고, 키도 조금 달랐고, 체형도 꽤 달랐다. 심지어 이제야 보이는, 달빛에 비치는 머리칼의 색 조차. ......이런 미친. 다른 사람이잖아. 그것도 죽음의 전장귀라고 불리는 카베르 윌라드 공작. 34 카베르. 34 34 ......네? 34 34 앞으로 이상한 칭호 붙이지 말고, 이름으로 불러라. 34 언제나 딱딱하게 굳어있던 그의 입매가 끝내 미소를 그려 냈다. 내가 잘못 고백했단 걸 들키면 당장에 죽여버릴 것처럼.",카카오페이지
28,칼집의 아이,수,소년만화,"난쟁이 할아버지와 낚시를 즐기고 세상을 떠돌며 나름 행복하게 살아가던 주인공 비라 . 어느 날 할아버지는 비라에게 북쪽 끝에 있는 숲으로 가서 자신을 기다리라는 말을 남긴 채 어디론가 다급히 사라진다. 평소 절대로 사람들의 인생에 끼어들지도, 호의를 받지도 말라던 할아버지의 가르침을 가슴에 담아둔 채, 비라는 곰 가족 보로 와 사람의 손길이 닿지 않는 깊은 숲속에서 꿋꿋하게 살아간다. 어느 날 계곡에서 낚시를 하던 비라는 북천마교에게 쫓겨 위기에 빠진 탄유 라고 불리는 청년과 마주치게 되고, 자신과는 다르게 자신의 목숨이 위태로운 상황에서도 비라를 챙기는 탄유의 모습에서 옛 할아버지의 모습을 보게 된다. 결국 비라는 사람들의 인생에 끼어들지 말라 는 할아버지의 가르침을 어기고 탄유를 위험 속에서 도와주고, 이 인연으로 두 사람은 친구이자 의형제가 된다. 하지만 탄유는 비라가 잠든 사이 북천마교의 교주를 만나 꼭 확인해야 할 일이 있다며, 다시 돌아오겠다는 말을 남기고 훌쩍 떠나는데 탄유가 향한 곳은 통곡의 폐허 라 불리는 위험지역. 잠에서 깬 비라는 보로에게 탄유의 위험한 상황을 듣게 되고, 망설임 끝에 숲에서 기다리라는 할아버지의 유언을 뒤로 한 채 탄유를 구하기 위해 숲속을 벗어나 세상 밖으로 나간다. 인간들의 전쟁과 무림의 혈투가 소용돌이치는 난세 속으로 몸을 던지는 비라의 모험담이 펼쳐진다! 아일랜드, 신암행어사의 양경일 작가 신작 웹툰 칼집의 아이 웹툰 칼집의 아이 는 매주 수요일, 6회 연재후 1회 휴재 연재됩니다.",카카오페이지
29,낭선기환담,수,액션무협만화,"호랑이로 환생하여, 영물이 되어 살아가던 산의 주인 산군. 평화롭게 살아가던 산군의 앞에 한 소녀가 찾아오게 된다. 대뜸 지아비로 모시겠다고 하는 소녀. 귀찮은 산군은 그녀를 내쫓으려고 하지만, 그녀는 돌아갈 곳이 없다. 결국 소녀를 거두기로 결심한 산군. 그런 그에게 수많은 위협이 닥쳐오게 되는데 .",카카오페이지
