id,title,author,genre,story,score,platform
481,방백남녀,고태호,"스토리, 드라마",모든 게 다른 두 남녀친구가 될 수 있을까?,9.93,네이버 웹툰
482,와장창창! 자취맨,폭타,"에피소드, 일상",자취인생의 리얼함을 보여준다!세 남자의 엉망진창 자취 이야기!!,9.95,네이버 웹툰
483,아메리카노 엑소더스,박지은,"스토리, 판타지",서울 한복판에 깜찍한 마법사 등장?!당신을 위한 이색 판타지!,9.41,네이버 웹툰
484,암흑도시,정뱅,"에피소드, 개그",암흑도시에서 살아가는우리네 소소한 이야기,9.93,네이버 웹툰
485,병의 맛,하일권,"스토리, 드라마",학교가기 싫음. 친구 없음. 혼자밥 먹음.이런 나에게 무언가 생겨나기 시작했다.,9.98,네이버 웹툰
486,혈투,신진우 / 박수영,"스토리, 시대극",일제 강점기를 배경으로 펼쳐지는복수와 음모의 대서사시!,9.49,네이버 웹툰
487,환상적인 소년,후은,"스토리, 판타지",평범한 소년과 환상적인 소녀의 위험한 동행 이야기.,9.98,네이버 웹툰
488,2D남친 별책부록,웹툰작가,"에피소드, 로맨스",인기 로맨스 웹툰 남자주인공의 심쿵 컷 대방출!미공개 에피소드를 지금 만나보세요,9.82,네이버 웹툰
489,엔드리스,윤준식 / 박하연,"에피소드, 스릴러",현실과 가상현실이 구분되지 않는 머지않은 미래. 가짜와 진짜가혼재되어 존재하는 세상에서 그 본질의 가치를 지키기 위해 싸우는 사람들의 이야기.,9.96,네이버 웹툰
490,신과함께,주호민,"스토리, 판타지",나쁘지도 착하지도 않은 평범한 남자 김자홍이저승에서 49일 동안 일곱 번의 재판을 받게 된다.,9.98,네이버 웹툰
491,황금의 핸드메이커,박장고 / 김래하,"스토리, 판타지",손에 닿는 무엇이든 황금으로 만드는 더 골드 의 여행기,9.93,네이버 웹툰
492,노블레스,손제호 / 이광수,"스토리, 판타지",820년간의 긴 수면기. 드디어 새로운 세상에 눈을 뜨다.그리고 새로운 세상의 새로운 사람들을 만나다.,9.62,네이버 웹툰
493,열대어,실버벨,"에피소드, 개그",누구보다 친근한 생선들이 온다!10대 핵공감툰.,9.94,네이버 웹툰
494,펀브로커,피터-Pen,"스토리, 판타지",대대로 영혼의 전당포 역할을 해온 펀브로커 집안의 마리마는 연금술사와 아버지의 전투 과정을 보고 펀브로커로서 각성하게 된다. 거대한 악들과 싸우는 펀브로커의 어플리케이션 액션이 작렬하게 되는데!!,9.92,네이버 웹툰
495,완벽하지 않은 키스,강기언,"스토리, 로맨스",키스로 뒤바뀐 그녀의 운명은 행운? 불행? 초호화 사립 고등학교에 벌어지는 흙수저 소녀의 하드코어 로맨스,9.94,네이버 웹툰
496,나노리스트,민송아,"스토리, 판타지",내게 날아온 달콤살벌한 선물 나노 안드로이드들의 비밀을 밝혀라!,9.98,네이버 웹툰
497,반투명인간,마인드C / 김명현,"스토리, 판타지",어중간하게 태어난 반쪽짜리 능력자들의 블록버스터급 일상,9.95,네이버 웹툰
498,나의 짝사랑 고백법,해미,"스토리, 로맨스",네 앞에만 서면 왜 자꾸 작아지는 걸까?진짜로 작아진 ? 나의 짝사랑 이야기,9.83,네이버 웹툰
499,불괴,폭주필 / 폭주작,"에피소드, 액션",마교의 손에 무림맹이 파괴되는 절체절명의 순간!이 위기를 타파할 전대고수들의 모든 내공이 생양아치백기립의 몸안에 흡수되면서 새로운 위기가 찾아오는데...,9.4,네이버 웹툰
500,2018 루키 단편선-지옥...,웹툰작가,"옴니버스, 드라마","전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 여덟번째 시즌!",9.89,네이버 웹툰
501,하이브 3,김규삼,"스토리, 판타지",본격화된 인간과 거대곤충의 전쟁. 김규삼 작가가 선보이는 역대급 판타지 스릴러,9.97,네이버 웹툰
502,조선왕조실톡,무적핑크,"에피소드, 개그","어느 날 메신저로 찾아온, 조선 시대 그분들의 시시콜콜한 이야기.무적핑크 작가 신작!",9.89,네이버 웹툰
503,파우스트 인 러브,허니맨 / 손팡,"스토리, 로맨스",악마와 거래한 연애 초보 지훈.6개월 안에 그녀의 마음을 얻어라!2017 청춘로맨스 대전 우수상 수상작,9.86,네이버 웹툰
504,일진에게 회초리,유승연,"에피소드, 액션","조선시대의 가장 위대한 왕, 세종. 한글 반포를 앞둔 조선을 떠나 21세기 18살 불량 고등학생 정이도에게 빙의된다.난무하는 급식체에 세종, 몸소 훈민정음의 참뜻을 가르친다.",9.95,네이버 웹툰
