,title,day,genre,story,platform
20,이그레트,토,드라마만화,"4대 속성의 정령왕을 모두 다스리는 위대한 대현자 이그레트. 죽음의 끝에서 39 백로황자 39 라고 불리는 제국의 황자 쥬다스 루바르잔 아르키디온의 몸으로 깨어난다. 34 이제는 포기하고 싶지 않구나, 사람들과 함께 살아가는 것을. 34",카카오페이지
21,샤먼,토,소년만화,39 주술 39 이 존재하는 세계. 세상을 구하려는 한 주술사 소년과 동료들의 이야기.,카카오페이지
22,"폐하, 또 죽이진 말아주세요",토,로판만화,"햇볕 강한 여름날의 죽음이었다. 열 여덟, 폭군의 손에 아버지와 어머니, 동생, 뒤이어 내 목까지 단두대 위에서 잘려나갔다. 그리고 나는 눈을 떴다. 열 두살의 생일이었다. 열 세살의 어린 황녀 ? 가 잔인한 폭군 황제가 되기 전에 나는 어떻게든 저 인간 옆에 붙어 간신이 되어야 했다. 34 저도 전하의 시녀니까 전하만을 따르겠어요. 34 34 난 가진 게 별로 없어. 그리고 넌 내 것이 아니야. 34 살기 위해, 가족을 구하기 위해 인간 불신에 빠진 저 폭군의 눈에 들어야 해. 그래야만 내가 살 수 있어. 그런데 끔찍한 저 괴물이 점점 달라지기 시작한다. 34 난 내 손에 쥔 것은 아껴. 그러니까 내 허락없이 네 몸에 상처 내지 마. 34",카카오페이지
23,로그인 무림,토,액션무협만화,"세상의 경계인 게이트에서 몬스터 사냥을 하는 헌터들이 잘 먹고 잘 사는 시대. 주인공 진태경은 최하위 헌터라 벌이가 시원찮다. 어느 날, 낡은 게임기를 줍게 되고 접속하니 무림의 세계가 펼쳐진다. 우여곡절 끝에 현실로 돌아온 태경은 무림에서 얻었던 힘이 현실에서도 그대로 남아있음을 깨닫는다. 이제 상급 헌터가 되어 돈을 버는 일만 남았는데... 게임 속 아니, 동료들이 걱정이 되어 다시 무림에 접속하게 되는데!",카카오페이지
24,"의원, 다시 살다",토,액션무협만화,"독점연재 해외 의료 봉사를 갔다가 내전에 휘말렸다. 환자 대신 반군의 총을 맞고 간신히 눈을 떴는데 아니, 어린아이가 됐잖아?!? 눈앞에 있는 건 부서진 마차와 특이한 복식의 쓰러진 사람들! 34 꼭 무림 세계 같네. 34 한 명이라도 살리기 위해 응급처치를 하던 중, 이곳이 즐겨 읽던 무협 소설, 지존천마 속 세상이라는 것을 알게 되고. 39 천하삼대의원 39 백린의선을 비롯한 구조대를 만나 내가 구한 이들 중 하나가 이 소설의 주인공, 미래의 천마 39 여하륜 39 이라는 것을 깨닫게 되었다! 34 야, 살려 준 은혜가 있으니 형이라 불러라. 34 목숨을 구해 준 은혜로 미래의 천마와는 의형제를 맺고, 재능을 눈여겨 본 백린의선과는 사제 지간을 맺어 강호제일신의가 되는 진천희의 일대기! 지금 시작합니다!",카카오페이지
25,데이지-공작의 혼약자가 되는 법,토,로판만화,3년만 결혼하고 50억 받기 60년간 무보수로 노동하기 과연 데이지의 선택은? 계약 부인으로 취직할게요. 당신의 좋은 파트너가 될게요. 뜨거운 조건의 정략결혼. 계약의 규칙은 간단. 애정 금지로 대동단결. 3년 후 신속한 이혼 보장. 남편을 반하게 만드는 것 절대 금지. 우리 가문의 사내들은 치정살인 전문이거든. 쓰레기 같은 남자의 정부로 불행한 삶을 산 데이지. 한 번의 삶을 망치고 비참하게 죽어버린 가엾은 그녀. 죽기 전으로 돌아와 제2의 인생을 살게 된 그녀의 단 하나의 소원은 평범하고도 소소한 행복을 누리는 것. 과연 데이지는 킬리언의 곁에서 소원을 이룰 수 있을까?! 웹툰 데이지 는 매주 토요일 연재됩니다.,카카오페이지
26,원존: 용의 비상,"화, 목, 토",소년만화,"용의 기운을 빼앗긴 대주국의 세자 주원, 8맥이 막히면서 원사 수련은 불가능해진다. 일반인보다 약한 체질로 낙인 찍힌 주원, 하지만 붓으로 주문을 새기는 기술인 원문 을 수련하면서 또 다른 힘을 보여준다. 남다른 의지력과 불굴의 의지로 주원은 번번이 사람들의 예상을 깨고 불가능을 이루어 낸다. 그러던 어느 날, 드디어 숙명의 라이벌, 용의 기운을 앗아간 무왕국의 세자와 맞붙게 되는데 과연 주원은 용의 기운을 되찾고 무왕국에 의해 쇠락한 나라를 다시 일어세울 수 있을까?",카카오페이지
27,샤크,토,소년만화,상어는 부레가 없어서 잠깐이라도 움직임을 멈추면 물속에 가라앉아 죽어. 그래서 상어는 태어나서 죽을 때까지 끊임없이 움직이고 또 움직여야 해. 너도 마찬가지야. 살아남고 싶으면 끊임없이 움직여라. 그럼 최고의 사냥꾼이 될 거다. ...상어처럼.,카카오페이지
28,공작부인의 50가지 티 레시피,토,로판만화,"눈을 뜨니 공작부인이 되어 있었다. 그런데 이거, 뭔가 이상하다. 기껏 빙의까지 되었는데 하녀들에게는 괴롭힘 당하고, 남편에게는 냉대 받는 허수아비 같은 공작부인이라니. 거지같은 내 인생! 에라, 모르겠다. 그냥 조용히 홍차 덕질이나 하며 살아야지라고 생각했는데. 34 다음번에도, 다시 한 번 차를 대접받을 수 있겠습니까. 34 냉랭했던 남편의 상태가 이상하다?",카카오페이지
29,마왕의 딸로 태어났습니다,토,로판만화,"불행한 삶을 살다 교통사고로 죽은 조아라, 그녀가 파괴와 섬멸의 마왕 딸로 다시 태어났다?! 학교에서는 왕따를 당하고, 친척에게는 구박을 당하는 조아라, 어느 날 고모의 폭력으로부터 벗어나기 위해 도망을 치다가 교통사고로 안타깝게 생을 마감한다. 정신을 차려보니 자신을 품에 안고 죽은 어떤 여성이 보이고, 자신이 다시 갓난아기가 되었다는 사실을 알게 된다. 뒤늦게 방으로 들어오는 검은 장발 머리의 남자, 그의 이름은 카라반, 마계를 다스리는 파괴와 섬멸의 마왕이다. 그는 자신의 아내가 아이를 낳다가 죽은 사실을 알고 이성을 잃게 된다. 자신의 아내를 죽게 만든 아기의 목을 졸라 죽이려 하지만 아이의 눈이 자신의 아내와 꼭 닮은 것을 보고 이성을 되찾게 된다. 이후, 카라반은 자신의 딸을 영원히 사랑하고 지키겠노라 맹세한다. 조아라가 환생한 그 아이에게 아이린 이라는 이름을 지어주고, 마왕과 그의 집사, 그리고 성기사였던 아내의 동료인 천사들까지 힘을 합쳐 아이린을 키우기 위해 고군분투한다. 불행한 삶을 살다 마왕의 딸로 다시 태어난 아이린 조아라 , 마왕과 그녀를 둘러싼 사랑과 모험의 이야기가 시작된다!",카카오페이지
30,시한부 악녀의 해피엔딩,토,로판만화,"우리 가문의 재산을 전부 드리겠어요. 저와 6개월 계약 결혼만 해주신다면! 세계관 최고의 악녀로 다시 태어난 나, 무심하고 차가운 그에게 행복한 결혼 생활을 해야 한다?! 사고로 죽은 뒤, 이 세계 최고의 악녀, 클레아 가 되었다. 다시 현생으로 돌려보내 주겠다는 마왕의 거래 조건은 다름 아닌, 전쟁광으로 유명한 디트로이 대공 아이작 과의 행복한 결혼생활. 하지만 . 첫째, 아이작 디트로이 대공은 나를 싫어한다. 둘째, 내 몸은 개복치만큼 약하다. 한 걸음 당 1, 총 의 1 3이 줄면 각혈이 시작되는 이 몸으로 과연 1년 안에 행복한 결혼 생활을 마왕에게 보여줄 수 있을까? 쥐면 꺼지고, 불면 날아가는 개복치 피지컬 클레아의 아슬아슬 로맨스!",카카오페이지
31,"아이고, 폐하!",토,로판만화,"35 궁정로맨스 35 판타지물 35 다정남 35 능력남 35 능력녀 35 여주중심 빵집 그랑그랑을 운영하며 평안한 나날을 보내던 시스티나는 어느 날 갑자기 황제가 되어달라는 부탁을 받게 된다. 얼렁뚱땅 황제가 되어 쏟아지는 일에 괴로운 그녀지만, 빵집을 운영하던 노하우를 살려 지혜롭게 일을 해결해 가는데 . 한편으로는 마녀의 인생에 있어서 가장 중요한 운명 찾기 가 미뤄져서 초조하고, 자신을 보좌하는 기사 레이딘 경이 신경 쓰여 알쏭달쏭한 매일을 보내는 시스티나! 사랑스러운 마녀는 과연 자신의 운명 을 찾을 수 있을까?",카카오페이지
32,폭군의 신경안정제,토,로판만화,"몸에 재앙이 봉인되어 태어난 이래 평화로워 본 적이 없는 폭군, 세르윈. 34 누가 나를 부드러운 천으로 둘둘 감싸서 벽난로 옆에 눕혀둔 기분이야. 34 34 포근한 향기가 나고, 따뜻하지. 34 34 머리도 둔해지고, 몸도 나른해져. 34 폭군의 비운의 연인이 되어 시작부터 죽어서 나오는, 마녀 아멜리에게 빙의 된 회사원. 34 내가 소설 좀 욕했다고, 꼭 이렇게 해야 했냐? 어? 34 34 전세계 막장드라마 시청자들은 왜 그냥 두는 건데?! 34 34 나한테만 이러기 있어?!! 34 죽고 또 죽을 수 없어, 도망치고 숨고 피해 보아도 결국엔 세르윈의 손바닥 위인데 . 34 본인은 모르나? 네게서는 좋은 냄새가 난다. 34 자신을 죽일, 그러나 자신의 곁에서만 편안해지는 이 폭군에게서 아멜리는 무사히 안전을 보장받을 수 있을까.",카카오페이지
33,아가씨 뜻대로,토,로맨스만화,"현은서, 나이 7살. 그녀의 증조부를 은인으로 삼은 차덕만 회장 덕분에 대재벌 금환그룹에 거둬지다. 그로부터 15년 후, 갑작스럽게 쓰러진 차 회장은 은서가 자신의 손자들 중 한 명과 결혼하기를 원하는데?! 차 회장이 친자식보다 아끼는 아가씨 현은서에게 금환그룹의 미래가 달려 있다! 이 와중에 친오빠나 다름없었던 차진하의 폭탄 발언? 아가씨, 설마 누구하고 결혼할지 아직도 고민 중이에요? 당연히 나랑 해야지. 세상에서 가장 소중하지만 속을 알 수 없는 이 남자, 믿어도 될까? 아가씨는 부탁 같은 거 할 필요 없어요. 아가씨 뜻대로, 내가 모든 걸 이루어 줄 거니까요.",카카오페이지
34,끝이 아닌 시작,토,소년만화,"독보적인 힘과 부를 겸비한 전쟁의 신, 그레이. 그는 여느 때처럼 잠자리에 들었을 뿐인데 눈을 떠보니 각종 마법과 괴물들이 가득한 새로운 세계에서 깨어나게 되고, 이내 자신이 39 아서 39 라는 이름의 아기로 환생해버렸다는 사실을 깨닫게 된다. 전생의 죽음, 그리고 그 진실을 알 수 없는 그는 과거의 실수를 다잡으려하기 보다는 새로운 삶에 적응하고자 부단히 노력한다. 아서는 그렇게 한 살, 한 살 성장할 수록 점차 자신의 능력을 각성하며 새로운 동료들과 모험을 떠나게 되는데...! 본격 먼치킨 판타지 액션!",카카오페이지
35,테이밍 마스터,토,소년만화,"전 세계에서 가장 인지도 높은 가상현실 게임 카일란 . 가상현실학과에서도 유명한 자타공인의 게임 폐인 이안. 서버에서 순위권에 드는 궁수로서 남부러울 것 없는 그가 우연히 획득하게 된 히든 클래스로의 전직을 위해 주위의 반대를 무릅쓰고 93레벨의 캐릭터를 과감히 삭제한다. 그가 선택한 것은 카일란 최고의 노답 직업인 소환술사? 엎친 데 덮친 격으로 학점을 피하려면 두 달 안에 삭제한 캐릭터의 레벨까지 올려야 하는데 100렙까지는 1년이 걸린다는 극악의 레벨업을 자랑하는 카일란에서 불과 두 달만에 93레벨을 찍기 위한 그의 고군분투가 펼쳐지는데... 레벨 업을 향해 더 빨리, 더 철저하게, 더 끈질기게 테이밍 마스터 의 전설이 시작된다!",카카오페이지
36,무련전봉,"월, 목, 토",액션무협만화,"제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 능소각 . 3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 양준 은 어느 날 의문의 서책 한 권을 발견한다. 그 서책에는 무도 를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데 과연 양준 은 그 서책을 통해 무도 를 익히고, 험난하고 외로운 싸움에서 무도 의 최고봉까지 올라설 수 있을 것인가?",카카오페이지
37,"이혼해주세요, 남편님!",토,로판만화,"남편이 저지른 반역에 휩쓸려 죽는 조연에 빙의했다. 살아남기 위해 남편 클로드와 이혼하려 온갖 패악질을 부려보는데 이 남자, 나한테 왜 이렇게 집착하는 거지?! 34 우리 이혼해요, 클로드 34 34 아일라, 난 널 놓아줄 생각, 절대로 없어. 34 34 돈이라면 얼마든지 사용해. 내 곁에만 있어주면 돼, 아일라. 34 다 필요 없고 반역에 휘말리기 전에 난 살고 싶거든요! 그러니까 제발 이혼해주세요, 남편님! 35 여주한정 댕댕남 35 남주가 여주 처돌이가 되어가는 과정 35 원작 정보와 맞는 캐릭터 1도 없음 35 어디로 튈지 모르는 캐릭터들의 향연 35 미모최상 몸매최상 남주",카카오페이지
38,나 홀로 로그인,토,소년만화,"11살 정시우는 항상 체육 시간에 혼자 노는 수밖에 없었다. 난 구기 열외야. 왜 너만 열외야? 장난하냐? 내가 나가면 나머지 인원이 전부 열외되거든. 물리적으로. 정시우에게 있어 힘이란 갈고닦는 것이 아닌 타고나는 것이었다. 그런 그가 열여섯이 되었을 때 세계는 대격변을 맞이하게 된다. 지구 상공에 나타난 거대한 성과 성의 선택으로 날개를 얻은 플레이어들. 그들은 세계를 변화시키고 말았다. 그렇게 10년. 정작 특별 힘의 소유자인 정시우는 플레이어가 되지 못한 채 백수 라이프를 만끽하던 중, 하늘에서 추락하던 수아린을 살리면서 들어가게 된 지하 던전에서 지하 플레이어로서 각성하게 되는데. 누구보다 특별하다! 지금, 현대 역발산기개세 정시우의 화려한 던전 공략 플레이가 시작된다.",카카오페이지
