,title,author,day,genre,story,platform,t_image,ID
205,더 이상 사랑하지 않는다,"수수,은해윤",화,로판만화,"가족에게도, 약혼자에게도 외면 받으며 살던 여주인공이 미련에서 벗어나 자신과 마찬가지로 사랑에 트라우마가 있는 남주인공과 결혼, 사랑함으로써 트라우마를 딛고 성장을 이룬다. 하녀의 딸로 태어나 부모의 사랑을 받지 못한 니베이아에게 비록 태중약혼의 상대이지만 발레르는 유일한 사랑이었다. 하지만 10년 동안 약혼자 발레르에게 냉대받으며 파혼을 종용당했던 니베이아는 그에게, 그에 대한 사랑에 지쳐 그를 떠나기로 결심하고 전략에 걸맞은 결혼 상대가 필요했던 인접국 빈프리트의 황제 아렌트에게 청혼한다. 가장 중요한 계약 조건은 39 사랑하지 않을 것 39 . 하지만 사랑처럼 뜻대로 되지 않는 것은 세상에 없는 법이어서, 아렌트는 상처받고 마음의 문을 닫은 니베이아에게 약속과 달리 사랑을 느끼고, 뒤늦게 니베이아에 대한 애정을 깨달은 발레르는 후회하며 그 사랑을 되찾고 싶어한다. 때를 놓친 사랑의 쓸쓸함과 다시 시작하는 사랑의 두근거림을 한꺼번에 보여주는 로맨틱한 이야기.",카카오페이지,b8Cc3K/hyORZqdU6m/B5EgorYnlGxwEDgHJkq0DK,56215360
206,"나오세요, 로미오","양혜석,ini",화,드라마만화,장르 일상 미스터리 5년 전 한 사고를 계기로 세상에 혐오감을 품은 채 다락방에 처박힌 소년 로미오 몬터규. 세간에는 중병으로 거동을 못 하는 신세라 알려졌지만 실제로는 다락방에서 나름 행복하고 알찬 은둔형 외톨이 생활을 영위하는 중이다. 진실을 아는 건 사촌 벤볼리오와 하우스키퍼 미리암 뿐. 하지만 그의 평화는 저택에 쳐들어온 미리암의 동생 아브람으로 인해 깨지기 시작한다. 34 당신이 자기 발로 이 방을 나오게 만들어 줄게! 34 34 그런 약속 필요 없어! 34 다락방의 평화를 지켜내겠다는 집념 하나로 아브람이 몰고 오는 각종 사건 사고를 해결하기 시작한 로미오. 자의 반 타의 반으로 안락의자 탐정의 면모를 갖춰가는 그의 앞에 예상치 못한 적대자가 모습을 드러내는데...,카카오페이지,odFSl/hyCReMWP8o/RARM9eOAkUZOw0hukfGt21,55268637
207,스마트폰 중독자,용현동,화,로맨스만화,스마트폰 중독자인 주다무의 10년 쓴 핸드폰이 사람으로 변했다?!,카카오페이지,bFss1G/hyZ8zGTM2G/dndJH58rQMe2Y0GqIWXOZ1,55929080
208,몬스터헌터,"폴른스타,닛베",화,소년만화,"먼 미래, 알 수 없는 이유로 지구는 멸망한다. 그런 지구에 난데없이 등장한 외계 종족의 몬스터들은 지구를 차지해 자신들의 지배 아래 두려고 한다. 이를 대적하기 위해 인간들이 모여 만든 인류 세력 코버넌트와 외계 종족, 두 세력은 지구를 두고 서로 치열한 다툼을 벌인다. 코버넌트에게 일명 버려진 자들이라고 불리는 인간들은 폐허의 땅이라는 곳에 모여 산다. 앞으로 10년 동안 벌어질 모든 일을 알고 있는 진무한을 선두로 폐허의 땅의 사람들이 코버넌트, 외계 종족에 대적하는 또 하나의 세력으로 성장한다. 제공 텐센트",카카오페이지,bUzE4P/hyATqIlHkL/lO0UDXBJm6ui68Kd2OMaj1,53723993
210,루갈 (RUGAL),릴매,화,액션무협만화,"모든 것이 사라져버린 그때, 그에게 특별한 눈이 생겼다! 보복으로 눈을 잃은 경찰의 이야기. 드라마 루갈 의 원작 액션웹툰.",카카오페이지,ObDJP/hyQ9Vk5jwA/lmYfO0aM0fF9c2M3D9fDrk,53178390
211,달빛조각사,"이도경,김준형,박정열,김태형,신C,남희성",화,소년만화,"아르바이트를 전전하며 어렵게 살던 소년가장 이현, 그가 위드 가 되어 가상현실게임 로열 로드 안으로 뛰어든다. 그가 게임을 하는 이유는 단 하나, 그건 바로 돈을 버는 것이었다. 한테까지 아부하여 밥을 얻어먹고, 차라리 노가다는 쉬운 거라며 주야장천 수련에 몰두하여 능력치를 키우는 억척의 지존. 그런 그에게 게임 속 세상은 모조리 돈으로 연결되는 방법일 뿐. 그런데 정작 그런 그가 얻게 된 직업은 전혀 돈 안 될 것 같은 39 조각사 39 였다. 한국 게임판타지 소설의 신화 달빛조각사 공식웹툰화!",카카오페이지,bu5m0F/hyATysVBkP/fnMDZS4uEMF2JSvKv2jnX1,47196143
212,우리집이거든요!,공룡,화,로맨스만화,"힘든 형편으로 모델의 꿈을 접고 어려서부터 온갖 알바를 해야만 했던 은우. 아버지 빚과 어머니의 병원비, 보증금을 들고 튄 언니까지.. 절망의 끝에서, 돌아가신 할아버지의 커다란 게스트하우스를 상속받게 된다. 희망과 행복이 뒤섞인 달짝지근한 상상을 만끽하며, 상속받으러 찾아간 게스트하우스. 뭔가 심상치 않다! 이게 게스트하우스야 동물원이야!? 강아지와 고양이, 정체를 알 수 없는 새 심지어 고라니까지! 각양각색 동물들을 피해 간신히 정글 같은 마당을 지나 입구로 들어간 은우는, 이곳에 뜻밖의 거주자들이 있다는 사실을 알게 된다. 문제는.. 딱 봐도 얘네들이 말귀를 알아먹고 호락호락 나가줄 정상인 같지는 않다는 것! 부자 여자들과 놀아나는 겉멋 한가득 뺀질하게 생긴 날라리. 화장을 진하게 해서 성별이 모호한 꼬마. 시대 지난 힙합 스타일에 눈 마주치면 바로 욕할 것 같은 여고생. 그리고... 정원 동물들의 주인으로 추정되는... 따듯한 미소를 지닌 남자. 은우는 자신들의 집이라고 우기는 정체불명의 점거인들을 내보내고 무사히 게스트하우스 썬시티를 상속받을 수 있을까?",카카오페이지,cQrgMz/hyEdhnYPTR/cmmD2oeKKSiKUJYlIOpECk,55554125
213,악당이지만 남주를 키웠습니다,"Fengyuziran/Ihuayue,Boyi Animation","화, 금, 일",로판만화,"우연히 발견한 고서 속으로 들어왔는데, 하필이면 악당 역이라니? 남주가 가지고 있는 39 읍계도 39 를 손에 넣으면 원래 세계로 돌아올 수 있다고 한다. 마음이 급급했던 강유화는 어린 남주가 장성하기 전에 죽여버리고 책의 세계관을 붕괴시켜 탈출하려 했지만 막상 죽이려 하니 마음이 약해진다. 그렇다면 남주를 잘 키워서 자신을 돕게 하면 되지 않는가? 그런데 이 녀석 보면 볼수록 귀엽잖아 다 큰 어른이 어린 애한테 두근거리다니, 아무리 겉모습은 어린 애라고 해도 이건 범죄라구! 과연 강유화는 남주의 마음을 얻고, 읍계도도 얻어 원래 세계로 돌아갈 수 있을까...?",카카오페이지,bYZ0DI/hyQ9U7Q8V3/kEvzlKzcu1lZOUEsNyEZiK,56589973
214,주인님이라 부르지 마!,고등어자반,화,로판만화,"집안의 가업인 향 방을 잇기 위해 후계자 공부 중인 이유리. 왕자병인 동급생의 고백을 거절했다가 졸지에 학교에서 그놈 패거리에게 괴롭힘을 당하게 된다. 썩은 김치를 사물함에 넣어놓는 것 정도야 유치해서 넘어간다 치지만 역시 피곤하긴 하다. 어느 날, 자신을 괴롭히는 동급생에게 한 방 날리고 도망쳐 온 산속. 하지만 갑자기 하늘에서 떨어진 깡통에 머리를 맞고 유리는 죽게 된...다!? 그대로 죽은 줄만 알았는데 눈 떠보니 잘생긴 남자의 무릎 위! 그리고 다짜고짜 유리를 주인님이라고 부르는 남자, 소우. 대체 왜 나를 주인님이라고 부르는 거야? 난 네 주인님이 아니라고오!!!",카카오페이지,KyQMr/hyQ9U74Jx7/Vj8oWblkoN0RkweRdZ4b2k,54682456
215,로열 셰프 영애님,"파야,리샤",화,로판만화,작은 기사 식당의 요리사였던 나는 황제도 두려워하는 권력가의 천덕꾸러기 막내딸이 되었다. 여비를 모아서 도망치려고 했는데 . 이상하다. 34 네게 미안하다고 하면 염치가 없는 건가. 34 34 그야 내가 네 오빠니까. 34 34 할애비와 산책해 주지 않는 거냐. 34 다들 갑자기 왜 잘해 주는 거지? 34 너를 보는 놈들의 눈알을 죄 뽑아 버리고 싶은 건 왜일까요. 34 도망치려는 나와 붙잡는 사람들. 요리만 했을 뿐인데 왜 이러는 거람 . 그녀가 예뻐 죽는 가족들 도망치고 싶은 그녀 여주 한정 머슴들의 등장,카카오페이지,e9m0v/hyEdfDm1q0/ysDQbUw8ftagM0fKvKfRGK,55268483
216,아이리스 - 스마트폰을 든 레이디,"윤혜,유수완",화,로판만화,"남편은 사촌동생과 바람이 나고 가문은 송두리째 시가에 빼앗겼다. 절망에 빠져 생을 마감한 순간, 전생의 기억이 떠올랐다. 서울의 취업준비생 백연화의 삶이. 과거로 돌아온 그녀는 결심했다. 두 번 다시 그들에게 버려지지 않겠다. 이제 내가 그들을 버리리라! 그런데 . 이안은 아이리스의 눈을 지그시 응시했다. 일전에 제가 했던 말을 기억하십니까? 의뢰비는 다른 것으로 받으시겠다는 말씀 말인가요? 예. 지금 받고 싶군요. 아이리스는 가진 게 없는 사람이었다. 다른 귀족 자제처럼 든든한 부모가 있는 것도 아니고, 돈이 많지도 않았다. 그런 자신에게 무얼 받겠다는 말일까. 아이리스가 깜빡였다. 그가 빙그레 웃으며 말했다. 나랑 연애하자. 선황의 장자, 제국 최고의 미남, 완벽한 남편감으로 손꼽히는 발렌시아가 공작이 왜 내게?! 복수를 위한 동아줄이 날 잡아달라고 살랑거린다. 로판 화제작 유수완 작가님의 아이리스 스마트폰을 든 레이디 본격 웹툰화! 아이리스의 통쾌한 복수극, 공작과의 설레는 연애를 웹툰으로 만나 보세요!",카카오페이지,bNO9AB/hyVkKe7JRP/S0ZcRf3htcRpZ9yoea9tYK,50914200
217,다이아몬드 에이스 완전판,Yuji Terajima,화,소년만화,"중학 전국대회를 노리고 있던 사와무라 에이준은 마지막 대회에서 자신의 폭투로 패하고 만다. 동료들과 함께 고교에서의 복수를 다짐하던 중, 명문 세이도 고교 야구부에서 스카우트 제의가 들어오는데 . 2 독점선연재 중!! .",카카오페이지,dscXy/hy41Ozj4qu/Z9utW1FsHbKYdQgC4mvQY1,48675167
218,킹스메이커 ~Triple Crown~,"강지영,하가",화,BL/GL만화,"쿠데타로 폭군을 끌어내리고 고생 끝에 황좌를 탈환한 볼프강. 전 황제의 소유물이었던 애동 신수혁마저 자기 것으로 만들어 황좌,사랑,복수의 트리플 크라운을 달성한다. 신수혁은 재무대신 자리에서 볼프강을 보필하며 하루를 보내고 그런 신수혁에게 볼프강은 애정공세를 퍼붓지만 자신을 전대 황제로부터 얻어낸 전리품으로 여긴다 믿고 선을 긋는다. 설상가상 위태로운 황권에 반발하는 무리가 볼프강을 노리고 쿠데타를 도모하는데..... 과연 볼프강과 신수혁은 휘청이는 황권을 바로잡고 둘 사이의 관계를 이어나갈 수 있을까? 킹스메이커 2부의 시작 그 이야기 속으로 여러분을 초대합니다!",카카오페이지,b67udF/hyCveMjgpR/GMVHLWENm8NDdghKQssO31,52845263
219,짐승같은 스캔들,"박플럼 [악어스튜디오],샨탈",화,로맨스만화,"청아함의 대표주자 국민 여배우 여고은, 그리고 퇴폐미 넘치는 스캔들메이커 서범의. 사실, 이 둘에게는 비밀이 있다. 소속사의 농간으로 39 절친 연기 39 를 하고 있다는 것. 절친 특집 리얼리티 프로그램에서는 한없이 애틋하고 다정해 보이는 두 사람, 하지만 이 모든 건 연기였다! 34 난 너랑 친구할 생각 없거든? 영.원.히. 34 34 나도 없거든, 친구 할 생각. 34 처음에는 분명 만날 때마다 으르렁대기 바빴던 둘. 프로그램을 촬영하면서 어느 순간 점점 더 가까워지고, 범의를 싫어하던 고은의 마음에도 작은 변화가 생기기 시작하는데... 이런 고은의 마음을 아는지 모르는지, 자꾸 고은에게 다가오는 범의. 누군가가 간절히 필요한 상황마다 고은 앞에 나타나는 범의의 모습과 촬영 전 술집에서 범의를 봤던 기억이 겹치며 고은은 혼란스러워 한다. 가벼운 사람인 줄로만 알았는데 자신에게 진심을 보여주는 범의의 모습에 고은은 점점 더 흔들리는데... 과연 이 둘은 오해를 풀고 39 가짜 절친 39 에서 벗어나 39 진짜 연인 39 이 될 수 있을까?",카카오페이지,9eDpQ/hyLjgIWJrP/OizTon63C9k45X28kCM4S1,55272678
220,대군으로 살어리랏다,"도파민,김태형,구사",화,소년만화,"대한민국 헬조선의 취준생에서, 조선의 대군으로 전생한 평범남 이현호. 그런데 하필, 폭군 연산군 의 동생 진성대군 으로 전생해버렸다! 나름 좋은 대학을 졸업했으나 취준생을 벗어나지 못하는 이현호. 뻔한 헬조선 흙수저 인생을 한탄하며 잠든 어느 날, 눈을 떠보니 격동의 15세기 진성대군으로 깨어난다. 이왕 금수저 왕자로 전생한 거 꿀이나 빨아보려 했으나 조선의 임금이자, 미치광이 폭군으로 알려진 연산군 이 자신의 형이라는 사실을 알게 되는데! 폭군 연산군을 성군으로 만들고, 전생으로 만난 부인도 지키기 위한 평범한 취준생 진성대군 이현호 의 예측 불가 연산군 멘탈 케어 프로젝트 ! 조와쓰 역사 왜곡 한번 제대로 해보자!",카카오페이지,n3hkp/hyZ8wxuogb/1uLiTXfxhcIjfpIQoAKffk,55591955
221,빅 라이프,"삼일,우지호",화,드라마만화,절망으로 얼룩진 암담한 삶. 누구도 믿지 못할 기적이 찾아왔다! 돈도 없고 인기도 없던 무명작가의 인생 대반전 스토리의 웹툰화!,카카오페이지,NkFkC/hyzTWV439S/sXmiCl0miuUkmu312A5yRK,54017282
222,흡혈고딩 피만두 시즌2~시즌3,탐이부,"화, 목, 토",드라마만화,"100년 동안 다니던 정든 생활고를 떠나 마야고로 전학간 피만두! 좀 더 효율적으로 피주머니들 ? 에게 접근하기 위해 피부색과 머리색을 바꾸고 나타났다! 만두의 정체를 모르는 마야고 일진들은 괜히 시비를 걸었다 번번히 당하기만 하고, 급기야 일진 보스가 피만두를 잡겠다며 계획을 세우지만 결과는 과연....",카카오페이지,bmNfEZ/hyATqVEPsB/dskpkaBlcHn0AUeLm6WJmK,49450403
