,title,author,day,genre,story,platform,t_image,ID
194,너와 사는 오늘,"우지혜,두르",화,로맨스만화,34 연애하면 될 거 아냐!! 34 소꿉친구인 재혁을 짝사랑하던 도희. 그녀가 재혁과 멀어지기 위해 연애를 하기로 다짐한 그 순간 교내에서 소문난 잘생긴 또라이 원영과 마주친다! 계속되는 원영의 장난에 자신도 모르게 설레는 나날들.. 과연 도희는 파란만장한 캠퍼스에서 연애를 시작할 수 있을까??,카카오페이지,cH35P4/hyCRdT1Q9p/z7pbGcf0tnzB0uzOEENny0,54149703
195,슬레이브 B,"임인스,박지",화,소년만화,"악신 39 세크네움 39 에 의해 평화가 깨져버린 세계. 인간과 엘프 사이에서 태어난 39 하프 엘프 39 종족인 39 니로 39 는, 갓난 아기일 때 부모를 잃고 인간 노예 부부에 의해 거두어진다. 노예는 사람 취급을 받지 못하는 세상에서 자라며 니로는 아버지와 어머니 모두 억울하게 잃고 어린 두 동생을 책임지는 가장의 역할까지 떠안게 된다. 지옥같은 노예 신분에서 벗어나 어린 두 동생을 지킬 수 있는 방법은 오직 하나. 노예 출신의 현 황제 39 뮤렌 39 이 졸업한 학교, 39 엑스카눔 39 을 졸업하는 것 뿐! 하지만 노예의 신분인 니로가 39 엑스카눔 39 에 입학하는 길은 보이질 않는데... 니로는 과연 절망에서 벗어나 39 엑스카눔 39 에 들어갈 수 있을까.",카카오페이지,bGkfOR/hyVkL6mbCs/lvjja0Nb3HW6zwWbg6aqr1,54816733
196,못난이 공녀가 되었습니다,"강세아,정하임",화,로판만화,"하필이면 못난이 공녀에 빙의했다. 자신을 경멸하는 가족들의 관심을 받기 위해 여기저기 패악을 부려, 그 결과 사람들의 무시와 비웃음을 한 몸에 받으며 39 못난이 공녀 39 로 불리던 실비아 아틀란테로. 죽기 위해 스스로 독을 마시고 생을 마감한 실비아의 몸에 내가 들어왔지만, 나는 그녀처럼 살고 싶지 않았다. 34 돈도 많고 몸도 건강한데, 다른 사람 신경 쓰며 살 필요가 뭐가 있어? 내 인생, 내 맘대로 살다 가면 그만이지! 34 그렇게 내 살 길 묵묵히 찾아갔을 뿐인데... 다들 갑자기 왜 이러는 거야? 실비아의 기억과는 너무 다르잖아? 난 조용히 살고 싶은데?! 34 그래도 넌 내 동생이고, 아틀란테의 일원이야. 34",카카오페이지,rK27A/hyLjfwhotR/SiztjmLZhwImStaxCKxalK,56148134
197,무인이곽,"류금철,우각",화,액션무협만화,"평범한 무인이었던 이곽, 신마련의 관일현에게 무참히 폭행을 당하게 되고, 사지를 쓸 수 없게 된다. 모든 것을 잃었다고 생각했을때 유일한 희망이었던 유가술, 지푸라기라도 잡는 심정으로 유가술을 익히게 되고 유가술 덕분에 이곽은 몸을 회복하게 된다. 그리고 이곽은 두번 다시 과거처럼 평범한 무인이 아닌 진짜 무인이 되고자 한다.",카카오페이지,9SrAa/hyQ9K5lt8c/ScWhRmPT5Cf47ANpwUlTkK,56662907
198,식욕,레로,화,소년만화,"다리 한쪽이 불편한 왕따 소년 도훈은 우연히 같은 반 친구인 민아지가 사람의 육체에너지를 흡수하는 모습을 보게 된다. 그리고 민아지는 그런 도훈이 100년에 한번 나올까 말까하는 엄청난 육체에너지의 소유자 맛있는 인간 인 걸 알게 된다. 39 맛있는 인간 39 의 에너지를 흡수해 자신버리고 엄마를 죽인 아버지에게 복수를 하고 싶은 아지. 계속된 괴롭힘에 살아갈 희망도 의지도 없는 도훈. 39 맛있는 인간 39 이 20살이 되어야 그제서야 완전한 에너지를 갖게 되기 때문에 민아지는 도훈을 20살이 될 때까지 사육 ? 하기로 하고, 도훈도 20살이 되면 아지에게 흡수당하기로 결심한다. 아지는 39 맛있는 인간 39 도훈을 흡수하고, 복수를 성공할 수 있을 것인가!",카카오페이지,5hdkU/hyQ9LDuKha/bsWljihhI9p1ilBw0dUoJK,56658466
199,검역창궁,"EK초콜릿,청로","화, 금",액션무협만화,"현천의 아버지는 명문세가의 장남이다. 그러나 사리사욕에 눈이 먼 동생의 음모와 배신으로 집안에서 쫓겨난 것은 물론 자객의 습격을 받아 목숨까지 위협 받는데... 그날부터 부모님을 위해 삼촌을 향한 복수를 다짐한 현천, 본격적으로 검도의 길에 들어서는데 실력은 생각만큼 늘지 않는다. 그러던 어느 날, 우연한 기회에 마주한 검영 으로 인해 실력이 증폭되는데... 순진했던 소년에서 최강 검신 이 되기까지, 소년의 끝없는 모험이 시작된다!!",카카오페이지,cuUXCW/hyQ9LWZuUD/vknBilaQj7mXzyWQ6TtH7K,53504901
201,키다리 회장님,최미애,화,로맨스만화,"투자금융 조이선 회장 비서실의 가장 말단 비서인 가영은 든든한 빽이 되어줄 집안도 없고, 이름도 낯선 대학을 졸업해 동료에게 온갖 부당한 ?! 구박을 받지만 항상 당당하고 활기차게 행동한다. 가영이 하루를 버틸 수 있는 것은 자신에게 위기가 닥칠 때마다 얼굴도, 이름도 모르는 자신만의 키다리 아저씨 가 있기 때문이다. 그 어디에서도, 그 어떤 상황에서도 결코 기 죽지 않는 가영은 점차 비서실 선배의 대놓고 갈굼보다 차갑고 냉정한 젊은 회장이 자신에게 관심을 보이는 것이 꺼름칙하기만 한데 매월 격주 화요일 업데이트",카카오페이지,bz65iW/hyATuD1lNI/1StQMbz7pQCry1KBJRqnCk,49874664
202,던전 마제스티,"람다,오벨리스크 팩토리,박제후","화, 목",소년만화,"별볼일 없는 알바생 오주윤. 우연한 사건으로 죽을 뻔 하지만, 선량한 마음씨 덕분에 이세계에서 환생할 기회를 얻는다. 하지만 다시 얻은 몸은 영웅도, 마법사도 아닌 최하위 능력치 바닥, 39 벽돌굼벵이 39 !? 본격 예지력 하강 레벨업 판타지!",카카오페이지,b0eHxS/hyLjeY0iQz/8WoDRb5VrZIaWbJVM2zdk1,56385442
203,전직 법사,"난(亂),산균자","화, 수, 목, 금, 토",소년만화,"평범하기 짝이 없던 김범. 어느 날 눈을 떠보니 세상은 마법으로 가득 차 있다. 그럼에도 변하지 않는 건, 사람들의 무시와 가난에 허덕이는 자신... 이곳에선 수련을 통해 마법사가 되어야 한다는데... 김범은 과연 자신이 꿈꾸던 최고의 마법사로 거듭날 수 있을까?",카카오페이지,PxIjp/hyATwomnsb/IjbaR6DowgQnvogyQ7ZqRk,52199324
204,화우요 [BL],조미현,화,BL/GL만화,"캄신 , 레트로 의 조미현 작가 신작!! 중문 땅에서 세가 큰 나라는 해서와 옥연 그리고 벼래국이 있다. 그중 벼래국은 고대 신선이 세운 나라로 신선들이 내린 세 가지 보물이 벼래국에 있는 한 멸망하지 않는다고 한다. 실제로 벼래는 중문 땅의 절반을 다스리는 강국이기도 했지만 지금은 작고 힘없는 나라가 되었다. 해서국의 젊은 왕은 정복자가 되어 점차 강성해져 국경을 마주하고 벼래국을 압박하고 있었고 벼래국에서는 태자 반을 해서국의 볼모로 보낸다. 벼래국 태자 반이 해서국의 왕을 뵙습니다. 해서국 대전의 문에서 왕좌의 앞에 이르는 긴 회랑을 걷는 벼래국 태자 반을 보며 해서의 왕은 벼래의 땅을 얻는 것만큼이나 태자 반의 마음을 정복하고 싶은데 꽃과 비의 노래 화우요 매주 화요일 업데이트!!",카카오페이지,bSs9ny/hyF229DBry/K5dGwwU7jcYtD9SuB4NBVk,54816278
