,title,day,genre,story,platform,Thumbnail
24,발자국이 녹기 전에,완결,,"가상의 조선, 세상에 의한 아픔을 가진 사람들의 사랑 이야기",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1314/c2/2x/2f83e510-5ced-4a3d-b973-862975f104f1
25,PEAK,완결,,이제껏 본적 없는 웰메이드 산악구조 액션!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/702/c2/2x/88d8f645-eec2-4b59-a5d3-88637564bc28
26,껍데기,완결,,"예뻐지고 싶은 태희와 성형외과 의사 도하, 그들은 껍데기만으로 행복해질 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1459/c2/2x/9e9fd445-ed76-4751-823f-facf4b873eb9
27,국민사형투표,완결,,어느 날 당신에게 도착한 국민사형투표 문자. 당신의 선택은?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1180/c2/2x/2d991a63-42ca-4e2b-b522-9a1ce8a74efa
28,무장,완결,,"고려 무신정권, 노비에서 무장으로 다시 태어난 영웅!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/822/c2/2x/a1a418a3-ddbe-476c-bdb6-3f102212d27a
29,무빙,완결,,남들이 모르는 비밀을 간직하고 있는 고등학생. 그리고 그 부모들의 이야기. 소년소녀들의 성장기.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1183/c2/2x/40633919-2d03-461e-a0b3-6bb5811d0696
30,징크스의 연인,완결,,재벌가가 숨겨둔 행운의 여신이 가난하고 재수 옴 붙은 내게로 왔다.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1339/c2/2x/ed85c5d6-9a20-4bec-9878-e4d77acaf4a8
31,어둠이 걷힌 자리엔,완결,,묘진전 작가 신작. 19 년 경성의 한구석에 자리한 특별한 가게. 그곳에 모이는 기기묘묘한 사연들,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1614/c2/2x/12f93088-895e-43e1-b45e-6391999bcf35
32,어쩌다 발견한 7월,완결,,할 수 있는 게 이것 밖에 없었어. 단지 너를 만나러 가는 것.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1415/c2/2x/2b0c78bb-e6e4-4ccc-a886-2ef4a87cf06e
33,나빌레라,완결,,"나이 일흔에 도전을 시작했다. 스물셋, 방황이 시작됐다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1313/c2/2x/89ae503a-a9e1-43ab-b507-dd082a1494ce
34,퍼펙트 게임,완결,,"치열한 직장인의 삶과 야구인으로서의 삶, 대한민국 최초의 사회인 야구만화 퍼펙트 게임",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/40/c2/2x/3ac1343f-d9bd-4705-8f10-909785ede99b
35,타고난 사람들,완결,,"돈은 안 되지만, 살기엔 편한 무엇을 타고난 사람들",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1107/c2/2x/0ee76dc5-126f-487a-8672-d8f0d27dab07
36,왈퐈,완결,,그가 죽었다.. 그리고 시작된 시아버지와 며느리의 합작 복수극!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1141/c2/2x/a65b23b9-4495-4cb2-96c7-e7194f909215
37,양말도깨비,완결,,양말이 한짝씩만 사라지나요? 당신의 집에도 도깨비가 있을지 몰라요,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1068/c2/2x/8b287fae-6bc7-4c72-b36b-c438d406325b
38,브레이커1,완결,,대한민국 최고의 도시무협 액션! 만화속세상 온라인 독점 공개!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/567/c2/2x/204157b4-e78a-42c6-aa96-64137f77d629
39,살생부,완결,,조선초 단종복위운동을 배경으로 한 하드코어 액션사극. 만화공모대전 대상작,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1108/c2/2x/51e415d7-9bee-4f10-ae0f-ca41bc001195
40,십이야,완결,,우리는 누구를 사랑했을까? 가국에서 펼쳐지는 판타지 로맨스,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/865/c2/2x/ed49e6ad-b600-472f-ac45-b4ab3e1d9156
41,나의 빛나는 세계,완결,,사람이 두려운 한 소녀. 그리고 다가온 작은 빛. 피노키오 작가 신작,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1023/c2/2x/99763806-dac3-44bf-b9b4-a647a615a16b
42,묘진전,완결,,"하늘로 돌아가고 싶은 남자, 묘진. 그와 얽힌 기묘한 이야기",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1031/c2/2x/df45f001-7765-401b-bb88-f84bdcce8a08
43,겨울과 봄사이,완결,,색청을 앓고 있는 하연에게 나타난 대비되는 색깔의 두 남자,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1572/c2/2x/b976ed68-9c7a-4734-999a-e14fe10e05e4
44,곱게 자란 자식,완결,,평범한 시골 소녀 이야기. .소녀만 평범한 그런 잔인한 이야기,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/998/c2/2x/1cbce8e7-59d8-41b7-b52e-77040b8c07f7
45,유색의 멜랑꼴리,완결,,이 결혼 용납 못 해! 떨어지는 꽃잎 사이로 벌어진 난투극. 34살 유도완의 결혼식은 그렇게 망했다.,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1714/c2/2x/024b2924-523c-4a8b-be83-5d7c614d0cac
46,연애싫어,완결,,연애를 싫어하는 여고생 하연실에게 일어나는 다양한 일상 공감 코믹연애물!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1296/c2/2x/48e8fd08-baeb-44a0-99ea-010be27ffcab
47,이끼,완결,,"나를 거부하는 고향 사람들의 시선, 그 이유는? 한국식 잔혹스릴러의 막이 올랐다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/67/c2/2x/1362efe5-faba-4806-b512-d136ea35d4f5
48,0.0MHz,완결,,심령현상을 과학적으로 밝히려는 위험한 발상의 사람들,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/887/c2/2x/61ef9ce1-35d3-48a4-b270-dea700f41289
49,브릿지,완결,,강풀 액션만화 두번째 시즌 브릿지 . 한국형 히어로들의 이야기는 아직 끝나지 않았다!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1355/c2/2x/785ef356-092b-452f-97d1-9528cdb42c4b
50,폭군황제의 첫사랑,완결,,기억을 잃은 소녀 디아 놀스 남작가의 하녀로 괴로운 나날을 보내고 있던 중 잔혹한 성정으로 유명한 황제 카이르 의 황성으로 납치된다. 막상 디아 를 마주한 카이르 는 자신을 아느냐 라는 질문만을 던지고. 그날 이후 디아 는 누군가의 피로 범벅된 카이르 를 마주하게 되는데. 치명적인 매혹의 로맨스 판타지,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2359/c2/2x/2a54a97e-348a-4d60-b635-ee01e7996afd
51,아버지의 복수는 끝이 없어라,완결,,"30년 간 묵혀있던 비극이 복수로 깨어났다 . 도훈은 치매에 걸린 할머니 소식을 듣고 내려간 시골집에서 30년 간 지하창고에 감금되어 있던 아버지 영춘 을 발견한다. 영춘에게 잘 보여 할머니 집을 물려 받으려하는 도훈. 하지만 영춘은 오히려 도훈의 가족에게 해코지를 하려는데. 아버지는 왜 할머니에 의해 30년 동안이나 감금되었을까? 30년 전 이 마을에는 무슨 일이 있었던 것일까? 베일에 싸인 끔찍했던 사건들과 하나 둘 씩 밝혀지기 시작하는 비극의 실체, 그리고 그 일에 얽힌 사람들의 원한과 복수가 시작된다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/1953/c2/2x/467324d1-d78f-4891-b876-876c55c4820a
