,title,author,day,genre,story,platform,Thumbnail
64,나 혼자 천재 DNA,지운성,수,판타지 드라마,"당신은 인류 역사상 최초로 생명의 플레이어가 되었습니다. 내 몸에 스며든 생명세포 로잘린. 로잘린과 함께라면, 아무도 모르는 생명의 비밀을 전부 파헤칠 수 있다. 류 박사님! 박사님이 만든 세포가 배지에서 자랐어요! 이거 배아줄기세포 맞죠?! 세상의 모든 불치병들, 백혈병, 치매, 조현병, 폐암, 췌장암 저걸 다 정복할 수 있을까? 물론입니다. 모든 질병을 정복해 가는 류영준 박사와 로잘린의 이야기. 나 혼자 천재 DNA",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2412/c2/2x/a02e2891-ece3-477c-99e0-e3146a8dae4c
65,정령왕의 딸,구름빛 COPIN,수,학원/판타지,평범한 대한민국의 여고생인 해인은 어느 날 수영장에 놀러 갔다가 이상한 소용돌이에 휘말려 정신을 잃게 된다. 깨어나 보니 이 세계의 바닷속. 그녀는 자신을 아버지라고 주장하는 정령왕 엘라임과 마주하는데 물의 정령왕인 아버지와 하프 엘프 어머니 사이에서 태어났다는 사실을 알게 된 해인. 그녀는 갑작스럽게 온 이세계에서 살아남을 수 있을까?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2396/c2/2x/9a667bba-0cba-49c4-a570-fdff8743a99b
66,프리실라의 결혼 의뢰,메로나,수,로맨스 판타지,"프리실라 모티아는 용병단에서 마법사로 일하고 있지만, 한때 영지를 가진 백작가의 외동딸이었다. 아버지가 돌아가시고, 계모가 사치품으로 재산을 모두 탕진해 10살 연상의 이혼남에게 팔아먹기 전까진 . 용병일을 하다 닥친 사고로 프리실라는 죽기 직전 드래곤 하트 를 손에 넣는다. 잃어버린 15년을 되찾을 기회! 그녀는 큰 모험을 시도하기로 결심한다. 돌아왔구나! 하지만, 돌아온 프리실라를 기다리고 있는 건 엄청난 빚과 그녀와의 결혼으로 영지와 작위를 빼앗을 궁리를 하는 이혼남. 프리실라는 복수를 위해 전장의 검은 사신 키안 루스틴을 찾아간다. 당신에게 의뢰를 하고 싶어요. 무슨 의뢰죠? 암살의뢰인가요? 키안 루스틴! 제 남편이 되어주세요. 과연, 프리실라는 의뢰를 허락받고 영지도 사랑도 쟁취할 수 있을까?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2357/c2/2x/645669ac-9930-4280-8b43-8aadc1b9d2e3
67,이별을 희망합니다,이오,수,로맨스 판타지,"빚쟁이들에게 쫓기다 사고로 죽어 요정의 화원 속으로 빙의했다. 그런데 왜 하필, 악녀에게 빙의한 거야! 희대의 팜므 파탈이자 악명 높은 악녀, 아이네 르 포레그린. 여주에게 악행을 부리며 괴롭히고, 아름다운 남자들을 수집하는 괴상한 취미까지 있다. 하지만 그녀는 결국 자신이 수집한 남주들에게 살해당하는데 . 안 돼, 이렇게 죽을 순 없어! 좋아! 오늘부터 내 목표는 이별 이다. 내 목숨을 위협하는 위험 요소는 단 하나도 남기지 않고 안전하게 이별하는 것! 내가 오늘 공작저를 찾은 이유는 그대와 파혼을 하기 위해서가 아니라. . 파혼을 하지 않겠다는 의사를 전하기 위해서야. 그런데 이 남자 왜 이러지? 여주와 사랑에 빠져야 할 대공이 파혼을 거부한다. 그뿐 아니라 속을 알 수 없는 암살 길드장 제이와, 모성애를 불러 일으키는 울프족 시온도 떨어뜨리려 할수록 더 달라붙는데 . 그녀는 과연 세 명의 남자와 이별하고 목숨을 지켜낼 수 있을까?!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2387/c2/2x/c85e2e1e-aaaa-4616-9fd8-24c7727dc2d9
68,피폐물 주인공의 부인이 되었습니다,네프,수,로맨스 판타지,"살아남고자 소설의 내용을 바꾸려 하는 알렉시아. 그녀를 붙잡아 두고 싶은 테르뷔온. 정체를 알 수 없는 원작의 여주인공, 오필리어. 원작의 이야기는 이제 완전히 다르게 흘러가기 시작했는데",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2495/c2/2x/682d63e0-99e2-438f-b6f5-8f2b7444012a
69,뇌신전생,ARC,수,액션/무협,무림을 파멸로 몰아넣던 지옥혈마대를 쓰러트린 영웅이었으나 영웅을 원치 않던 칠대세가들의 배신으로 죽음을 당한 주인공 그러나 아홉 번의 삶을 가능하게 하는 구전환생주의 공능으로 백가검문의 애물단지였던 백무군으로 환생하게 된다. 전생으로부터 흘러간 시간은 고작 30년! 그렇다면 아직 그 원수 놈들이 살아 있으렸다? 복수 그리고 아직 못다한 인연을 마무리 짓기 위해 그의 마지막 무림행이 시작된다!,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2438/c2/2x/a2664d77-a9fc-449b-8342-259672d3641a
70,봄의 에스프레소,권도희,수,로맨스,"9년이나 운영하던 카페 봄 을 닫고 구직에 나선 봄솔. 잘생기고 실력 좋지만 까칠한 세계적인 바리스타 제이크 케이 아래에서 일하게 된다. 그런데 어딘가 그의 모습이 낯익은데? 봄솔의 첫 회사생활. 과연 순탄하게 지낼 수 있을까? . . . 이제 기억할 때도 됐지 않아요? 카페 봄, 단골, 고등학생.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2459/c2/2x/c9c4fd43-fbc4-464c-9ecd-22aec6d7730f
71,폭군 오빠가 셋이래요,"km, 깨구리",수,로맨스 판타지,"이름조차 없어 수요일로 불리는 요일 노예, 수요일. 작은 반항에 죽을 위기에 처한 그때, 드디어 찾았군. 하루아침에 오빠가 셋이나 생겨 버렸다. 아스카니어 황가의 저주를 풀 유일한 열쇠가 나라고? 게다가 폭군이라고 불리는 오빠들이 왜 나한테만 다정한건데?! 갑자기 생긴 오빠들의 본격 막내 편애 로맨스, 폭군 오빠가 셋이래요.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2493/c2/2x/223efbd7-1a72-4ff7-ac4a-c8bedf348df9
72,폭군 남편이 달라졌어요,장비,수,로맨스 판타지,"가문에 의해 억지로 폭군 대공과 결혼하게 된 이드리스. 공작가의 사생아였기에 가족의 사랑도 받지 못 했던 그녀는 폭군 대공 칼리드와의 불안한 결혼 생활을 이어간다. 그러던 어느 날, 자객에 의해 급소를 찔린 이드리스는 다시 보자는 영문모를 칼리드의 말과 함께 숨을 거둔다. 정신 차리니 결혼식 당일로 돌아온 이드리스. 그런데 한 번도 웃어주지 않았던 칼리드가 온갖 달콤한 말을 건네오며 그녀를 위해 뭐든 하겠다고 웃어주는데... 갑자기 우리 폭군 남편이... 달라졌어요!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2411/c2/2x/64207c72-6f36-4239-940d-21d781c94a94
73,폭군의 보호자는 악역 마녀입니다,하리,수,로맨스 판타지,"19금 피폐 로맨스 판타지 소설 속 악역, 무시무시한 마녀에 빙의했다. 스토리에 따르면 마녀는 자신이 키운 폭군 남주인공에게 죽는 운명! 다행히도 남주인공이 태어나려면 아직 200년이나 남은 상황. 그럼 느긋하게 대책을 생각해볼까? 그러나 200년은 순식간에 지나갔고. 어느새 내 눈앞에서 벌벌 떨며 서 있는 7세의 어린 남주가 말했다. 제가 갑자기 찾아와서 곤란해지신 거 알아요. 죄송해요. 절 궁으로 돌려 보내셔도 괜찮아요... 뭐야, 이 뽀시래기는...? 어쩌면 나, 조금의 희망은 있는지도?! 음... 우선 잔뜩 겁먹은 이 꼬마부터 달래보자 싶어 내가 할 수 있는 최대한의 상냥함으로 말했다. 어처구니가 없구나. 내가 너 같은 꼬마 하나 때문에 곤란해질 사람으로 보이느냐? 그리고 어딜 돌아가겠다는 거야? 갈.곳.도.없.는.주.제.에. ...! 갑자기 꼬마가 울먹이기 시작했다. ...어라, 이게 아닌가?",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2447/c2/2x/50a43911-fbcc-41cd-b3d8-2d6c9d7dcff8
74,나는 될놈이다,서윤교,수,학원/판타지,"모든 걸 완벽하게 소화하며 잘하기에 주인공은 어디서든 될 수 밖에 없는 인재, 그렇기 때문에 게임 안에서 아무도 하지 않는 기행을 하며 정점을 노린다. 될 놈은 되게 되어있다! 엄청난 행운으로 불가능한 퀘스트도 주인공의 행운에는 속수무책. 행운으로 게임을 정복한다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2339/c2/2x/c1866deb-321e-4cb0-954f-4280eb684930
75,나의 미친 페미니스트 여자친구,오은지,수,로맨스,어쩌다 페미니스트 여자친구와 사귀게 된 남자의 연애분투기,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2138/c2/2x/73ddfea2-0327-4993-8b86-c35d3d061732
76,악녀가 사랑할 때,붉구,목,로맨스 판타지,시한부 인생을 사는 악녀에게 빙의했다. 괜찮다. 병은 고칠 수 있으니까! 목표는 하고 싶은 걸 마음껏 하는 인생! 나는 먼저 좋아하던 소설 속 등장인물들 덕질을 하기로 했다. 그런데 나를 악녀라고 하던 주변 사람들 반응이 이상하다. 당신은 곧 죽는데도 어떻게 그렇게 웃으실 수 있는 겁니까. 그야 네가 잘생겨서..?,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2417/c2/2x/512df621-92d6-4d1d-9ccc-2781cf96dbba
77,나 혼자만 레벨업,현군,목,학원/판타지,"10여 년 전, 다른 차원과 이쪽 세계를 이어 주는 통로 게이트 가 열리고 평범한 이들 중 각성한 자들이 생겨났다. 게이트 안의 던전에서 마물을 사냥하는 각성자. 그들을 일컬어 헌터 라 부른다. 그러나 모든 헌터가 강한 것은 아니다. 내 이름은 성진우. E급 헌터다. 저급 던전에서조차 죽을 고비를 넘겨야 하는 인류 최약병기 . 무엇 하나 내세울 것 없는 형편에 저급 던전으로 근근이 생계를 이어가던 그는, D급 던전 속에 숨겨진 최악의 난이도의 이중 던전을 만난다. 그리고 결국 죽음을 맞이하려던 순간, 그는 기이한 능력을 얻게 된다. 오직 그에게만 보이는 게임 퀘스트 창! 오직 그만이 알게 된 레벨 업의 비밀! 퀘스트를 따라 수련하고 몬스터를 사냥하면 레벨이 오른다. 오직 그 혼자만! 최약체 헌터에서 최강 헌터로 각성하다!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2320/c2/2x/78363bcd-eec2-4d43-8045-c1f732ad87a1
78,아내가 돌아왔다,신선,목,로맨스,"이혼해요, 우리. 사랑 없는 정략결혼. 결혼은 비즈니스일 뿐이라 생각했던 남자, 최무원. 그런 그에게 이혼을 말한 여자, 이유래. 3년이 지난, 어느 날 예상치 못한 장소에서 낯선 관계로 재회하는데 . 우리 연애할래요? 아내가 돌아왔다. 그런데 이 여자, 그가 알던 예전의 그 여자 맞아? 멈추었던 심장이 뛰기 시작한다. 하필이면 돌아온 아내에게, 아내가 돌아왔다 .",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2421/c2/2x/d71d2e21-d28f-4ad6-a59e-ee2bcad876e9
80,마탄의 사수,샤이멜,목,학원/판타지,"부대에서 명사수로 꼽히는 부사관 하이하 는 어느날, 탄통이 폭발하는 사고로 인해 하반신 마비가 되어버린다. 그의 하반신을 원래대로 돌리려면 20억이라는 거금이 필요하다. 절망하며 집에서 침울해하고 있던 중, 사촌동생의 권유로 미들어스 라는 게임을 접하게 된다. 가상 현실게임 미들 어스 에서획득한 돈은 현실의 돈이 된다! 수술비를 벌기위해 미들어스에 뛰어든 이하. 하지만 캐릭터 생성 때 가장 성능이 낮은 머스킷티어 를 고르게 되고 마는데... 흑색 화약, 쇠구슬, 꼬질대. 진짜 머스킷티어 가 뭔지 보여주마!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2470/c2/2x/6b9953cd-30cd-43de-bd99-da9a6f70ca93
81,악당의 아빠를 꼬셔라,비아,목,로맨스 판타지,"주인공들이 태어나지도 않은 책 속 세계에서 눈을 떴다. 게다가 이제부터 부모님 세대에는 초특급 시련들이 닥쳐올 예정! 그러니까 우선 언니의 납치부터 막자...고 생각했는데 잡았다. 르보브니의 공주. 왜 내가 납치된거야?! 대신 납치된 것도 서러운데, 나를 납치한 황제의 곁이 아니면 몸이 버티질 못한다! 아버님, 결혼해주세요! 그래, 이왕 이렇게 된 거 존재 자체로 은혜로운 저 남자도 살리고, 나도 좀 살자!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2378/c2/2x/b1f05b97-c02b-4623-94e5-e3e9487f56d1
