,title,author,day,genre,story,platform,Thumbnail
54,이계 검왕 생존기,권순규,수,학원/판타지,"귀하는 적합자로 선택받았습니다 귀하의 재능으로 셀하 라트나에서 생존할 확률은 5 미만입니다 자살하시겠습니까? Y N x 까. 5 미만의 생존 확률. 22년의 시간. 셀 수도 없는 마견과의 사투. 이 지옥에서, 나는 홀로 살아남았다. 5라는 레벨 뒤에 감춰진, 무지막지한 히든 스탯들과 함께! 대검 하나로 이계를 썰어버리는, 사상 최강의 레벨5 검사 류한빈의 극한 사이다 생존기!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2363/c2/2x/b59adf3f-6d62-4830-a31f-693b80909c78
55,해골병사는 던전을 지키지 못했다,앤트스튜디오,수,학원/판타지,"나는 해골 병사 . 주인인 서큐버스님을 지키지 못하고 그저 하찮게 부서져버린 일개 몬스터. 그렇게 죽음을 맞이하는 줄 알았다. 그러나 정신을 차려 보니, 20년 전 사령술사에 의해 눈을 뜬 그 날로 돌아왔다. 남들에겐 보이지 않는 상태창과 함께, 죽어도 죽어도 몇 번이고 되살아나나게 되었다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2358/c2/2x/9c3ae4fb-1e6b-4dab-a720-ca0eacef725b
56,"계모인데, 딸이 너무 귀여워",모구랭,수,로맨스 판타지,"다이어트도, 업무도 열심히 하면서 평범하게 살아가던 나 이백합 . 과로사로 죽은 줄 알았는데 자신보다 예쁜 의붓딸을 질투한 나머지 딸을 독살하고, 결국 남편에게 처형되는 동화에 빙의했다?! 이대로 처형당할 수 없으니 귀엽고 사랑스러운 딸, 블랑슈와의 관계를 개선해 사망 플래그를 없애야 한다! 뭘 해도 귀여운 블랑슈에게 사랑을 퍼붓는 일은 즐거운데 우습군요. 부인이 언제부터 그렇게 블랑슈를 아꼈다고? 망할 남편 놈이 날 자꾸 방해한다! 저도 블랑슈의 부모입니다. 절 의심한 걸 사과하세요. 사과하지 않으면? 오늘 밤 전하의 침소로 찾아가겠어요. . 특별히 아주 섹시한 속옷도 준비했답니다. 나는 싱긋 웃으며 치명타를 날렸다. 지금 당장 보여드릴까요? 순식간에 일그러지는 남편의 얼굴이 아주 볼만했으니, 나는 계획한 대로 귀여운 딸 블랑슈를 덕질하며 행복한 두 번째 삶을 살 수 있을까?! 딸덕질 가족물 로맨스코미디",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2487/c2/2x/5cc7f0bb-fe11-40f2-8e98-f2b1cf7344d4
57,장르를 바꿔보도록 하겠습니다,가린,수,로맨스 판타지,"좋아했던 장르 소설 속에 빙의했다. 하필이면 어린 주인공을 학대하는 악역 이모로. 복수극의 주인공으로 자라날 조카가 안쓰러워 원작대로, 삼촌이 나타나 조카를 데려갈 때까지만이라도 살뜰히 보살피려 노력했다. 그랬더니... 어, 엄마! 졸지에 애엄마가 되어버렸다?! 사정이 어떻게 되신 건지는 모르겠습니다만, 모자지간을 어떻게 찢어두겠습니까? 숙녀분도 함께 빈터발트로 가시지요. 야, 김루카! 이 오해는 어떻게 풀어줄 건데!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2494/c2/2x/edd9ecef-f89b-4369-9f7c-92784e27fc49
58,북검전기,해민,수,액션/무협,"무협소설의 최강자 우각의 동명 소설 북검전기 가 만화로 새롭게 태어나다! 세상을 혼란에 빠뜨린 집단 밀야에 맞서기 위해 중원의 고수들이 모여 만들어낸 북천문! 북천문의 강력한 투쟁으로 밀야는 서서히 그 모습을 감추었고, 북천문은 중원을 평화를 대표하는 집단으로서 강력한 위용을 과시하게 되었다. 그러나 평화가 길어지자 중원의 고수들 사이에서는 북천문에 대한 은밀한 시기가 생겨났고, 결국 북천문의 4대 문주인 진관호는 배신자들에게 둘러싸인 채 스스로 목숨을 끊음으로서 파국의 끝을 맞이하게 된다. 모두가 떠난 북천문에 홀로 남은 진관호의 아들 진무원 13세 은 무공이라고는 손톱만큼도 알지 못 하는 어린 소년. 그러나 남몰래 아버지가 전수한 고어 를 통해 북천문의 벽에 새겨진 무공을 익히기 시작한다. 그러던 어느날, 진무원의 앞에 정체를 알 수 없는 한 소녀가 나타나게 되는데 !!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2362/c2/2x/55efa879-aae7-4b44-aa17-67d9b929674b
59,쉬고 싶은 레이디,솜땀,수,로맨스 판타지,"왕, 마법사, 악사, 검사, 부호, 거지, 성녀, 마녀... 수없이 전생을 거듭하며 그녀는 천년을 살았다. 때론 세상에서 가장 존귀한 자로, 때론 가장 비천한 자로. 그중에서도 53번째 삶은 손꼽힐 정도로 처참하고 괴로웠다. 그리고 다시 시작된 54번째 삶, 그녀는 지쳤다. 다 귀찮아. 이젠 제발 좀 쉬고 싶어. 이번만큼은 반드시 게으름뱅이 나무늘보의 삶을 살고자 결심했는데... 왜 자꾸 귀찮게 하니... 언니 좀 쉬자.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2482/c2/2x/cd82a359-de12-4657-ae55-8c9f426f1d51
60,마검왕,소구미,수,액션/무협,평범한 고등학생 진욱의 무림과 현실을 넘나드는 액션 판타지,카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2304/c2/2x/5c928df5-2e3c-4575-9cf3-7d9d8a3fffd8
61,탐식의 재림,김종일,수,학원/판타지,"굴라 Gula 의 아들이 돌아왔다. 도박에 미쳐 살았다. 가족과 등을 지고, 여자 친구도 배신했다. 하루하루 허송세월로 보냈다. 쓰레기 같은 인생이었다. 현실이 말했다. 넌 뭘 해도 안 되는 놈이라고. 비참한 현실을 바꾸려 비현실을 선택했다. 하지만 거기서도 마찬가지. 고생 끝에 낙이 오나 싶었지만, 커다란 세력 앞에 허무하게 무릎 꿇었다. 공든 탑이 물거품이 되어버렸다. 한 번쯤은 진정한 자신을 알고 싶었다. 가까이 오너라, 나의 아이여. 이번에는 참지 않았다.",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2354/c2/2x/24a50789-df20-49cb-8a52-087e1c18e646
62,목표는 금수저로 무병장수하기입니다,"요슈아, 남사랑",수,로맨스 판타지,"기껏 금수저로 태어났는데, 비참하게 살해당한다고? 철저하게 살아남아서 무병장수해 주겠어! 좋아하는 소설 남주의 여동생으로 환생했는데, 열일곱 살에 계모에게 독살당할 운명이다. 오빠는 여주와 모험 중이니, 나 혼자 어떻게든 살아남아야 하는데...! 나는 이 세계에 대해서 알고 있어. 책 속의 수많은 인물 중에서 나에게 도움이 되는 사람들이 있을거야! 비참하게 죽을 운명을 피해 금수저로 잘 먹고 잘살기를 꾀하는 나, 아드리아나에게 제국의 황자, 수상한 상단 주인, 더 수상한 마족이 접근하기 시작한다! 그래. 이대로 얌전히 죽어줄 순 없어! 난 살아남을 거야! 내 목표는 금수저로 무병장수하기니까!!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2403/c2/2x/0611484b-e5e9-44d1-877e-a8f51e3ead86
63,영주님의 코인이 줄지 않음?!,홍대의,수,학원/판타지,"암살자에게 비참한 죽음을 당하고, 과거로 회귀한 에른. 그런데 그의 눈에 차원거래서가 깃들어 있었다! 거래가 완료되었습니다. 보유 포인트 ?????P 모든 기억을 가지고 회귀한 에른, 중고로운 차원나라... 아니 평화로운 차원나라에 폭풍이 불기 시작했다!!",카카오웹툰,https://kr-a.kakaopagecdn.com/P/C/2513/c2/2x/374eafc9-36a8-4be9-ad94-23c0af3b8c96
