,title,day,writer,illustrator,story,platform,genre,,,,,,
0,참교육,월,채용택,한가람,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다! 부활남 채용택 작가 신석기녀 한가람 작가의 신작!,네이버 웹툰,"스토리, 액션",,,,,,
1,신의 탑,월,SIU,SIU,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑,네이버 웹툰,"스토리, 판타지",,,,,,
2,뷰티풀 군바리,월,설이,윤성원,여자도 군대에 간다면? 본격 여자도 군대 가는 만화!,네이버 웹툰,"스토리, 드라마",,,,,,
3,윈드브레이커,월,조용석,조용석,혼자서 자전거를 즐겨타던 모범생 조자현. 원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데... 자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,네이버 웹툰,"스토리, 스포츠",,,,,,
4,팔이피플,월,매미,희세,"마스크걸 , 위대한 방옥숙 매미 희세 작가의 신작! 에서 육아용품 파는 평범한 유부녀 박주연, 그녀의 고등학교 동창인 김예희는 팔로워 70만의 셀럽으로 엄청난 부와 명성을 누리는 중이다. 박주연은 김예희를 미워하는 동시에 집착하고 있는데, 과연 그녀는 김예희의 과거를 폭로하고 셀럽으로 올라설 수 있을까?",네이버 웹툰,"스토리, 드라마",,,,,,
5,소녀의 세계,월,모랑지,모랑지,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물,네이버 웹툰,"스토리, 드라마",,,,,,
6,장씨세가 호위무사,월,조형근,김인호,당신이 부른 것이오. 나란 사람을... 은둔고수 광휘. 호위무사 되다. 웹소설 원작 웰메이드 무협 시대극!,네이버 웹툰,"스토리, 액션",,,,,,
7,백수세끼,월,치즈,치즈,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니? 음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!,네이버 웹툰,"스토리, 드라마",,,,,,
8,파이게임,월,배진수,배진수,"시간이 흐르면 돈이 쌓인다. 피가 흐르면 시간이 쌓인다. 과연 최후에 남을 상금과 승자는 누가 될 것인가? 짜릿한 현실감과 팽팽한 긴장감, 사회에 대한 냉철한 주제의식까지 돋보이는 머니게임 의 후속편!",네이버 웹툰,"스토리, 스릴러",,,,,,
9,앵무살수,월,김성진,김성진,평범한 뱃사공으로 살고 있는 노소하. 하지만 그의 정체는 전설적인 구파검법의 후계자다. 이제 진시황이 남긴 비서 선근경을 향한 살수행이 시작된다.,네이버 웹툰,"스토리, 판타지",,,,,,
10,삼매경,월,이원식,꿀찬,학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,네이버 웹툰,"스토리, 액션",,,,,,
11,만렙돌파,월,성불예정,미노,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉. 그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!",네이버 웹툰,"스토리, 판타지",,,,,,
12,잔불의 기사,월,환댕,환댕,"유일한 가족이자, 최고의 기사 유망주였던 쌍둥이 동생이 살해당했다. 천재적이었던 동생과는 달리 무예에 재능이 전혀 없지만, 동생의 복수를 위해 강함 을 연기하기로 결심했다. 약해빠진 나는 복수에 성공할 수 있을까.",네이버 웹툰,"스토리, 판타지",,,,,,
13,요리GO,월,HO9,HO9,요리고등학교 졸업 후 산에서 수련을 마친 한별. 특급 호텔 레스토랑에 인턴으로 취업하게 되지만 엄하기로 소문난 호텔 주방에서 다양한 사건들에 휘말리게 되는데... 과연 요리천재 한별은 이 어려움을 어떻게 헤쳐나갈 수 있을까?,네이버 웹툰,"스토리, 드라마",,,,,,
14,유일무이 로맨스,월,두부,두부,평범한 취준생 공유일의 일상에 인기절정 탑배우 탁무이와 아이돌 류민이 침범해오기 시작했다! 사심가득 탑스타,네이버 웹툰,"스토리, 로맨스",,,,,,
15,더블클릭,월,김장훈,박수봉,악명 높은 난이도를 가진 게임의 세계 랭킹 1위였던 지호. 서비스 종료된 줄만 알았던 그 게임이 새롭게 돌아왔다! 지호는 다시 한번 랭킹 1위를 꿈꾸며 게임 동아리에 입부한다. 오랜만에 게임을 해도 살아있는 감각. 하지만 게임이 새롭게 변하면서 예상치 못한 약점이 생긴다. 강한 상대를 마주할수록 열정이 끓어오르는 주인공의 프로게이머 도전기!,네이버 웹툰,"스토리, 액션",,,,,,
16,약초마을 연쇄살초사건,월,박지독,박지독,평화롭던 약초마을에 연쇄 약초 살해 사건이 벌어진다. 살해당한 약초들의 공통점은 모두 뿌리가 잘려있다는 것. 이 수상한 사건의 범인은 약초일까? 아니면 소문대로 귀신의 소행일까? 이 사건을 취재하던 마기자에게 의문의 편지 한 통이 도착하는데...,네이버 웹툰,"스토리, 스릴러",,,,,,
17,칼가는 소녀,월,오리,오리,치사율 100 의 인싸 희귀병 소녀 사랑 누구보다 차분하고 두려움 없는 같은 반 소녀 은조 두 소녀가 가슴 속 칼을 품고 세상을 향한 복수를 꿈꾼다. 네이버웹툰 최강자전 18년 대표작.,네이버 웹툰,"에피소드, 드라마",,,,,,
18,히어로메이커,월,빤쓰,빤쓰,왕은 영웅이 되고 싶어하는 공주의 소원을 들어주기로 전격 결심! 공주를 속이고 마치 영웅이 된 것처럼 만들기 위해 온 나라가 연극을 하게 되는데..파란만장한 그들만의 눈물겨운 영웅만들기의 대장정이 펼쳐집니다,네이버 웹툰,"옴니버스, 판타지",,,,,,
19,꼬리잡기,월,바쉬,바쉬,"건물붕괴 사고로 매몰된 9명의 대학생. 2주 뒤, 3명은 사망하고 1명은 의식불명인 상태로 발견된다. 가까스로 구조된 생존자 5명은 그곳에서 있었던 일을 숨기려 하는데... 생존자인 척 숨어있던 살인자에 대한 정황이 드러나기 시작한다. 수사팀은 이 밀실살인 사건의 처음과 끝을 파헤치게 된다.",네이버 웹툰,"스토리, 스릴러",,,,,,
20,결혼생활 그림일기,월,은꼼지,은꼼지,조용할 날 없는 우당탕탕 두 짐승의 결혼생활 이야기!,네이버 웹툰,"옴니버스, 일상",,,,,,
21,물어보는 사이,월,성은,성은,"뱀파이어에게 물리면 건강해진다?! 두통으로 의도치 않게 비호감 연예인이 된 이채이. 우연히 톱스타인 서이준이 뱀파이어이고, 그에게 물리면 한동안 건강해진다는 걸 알게 된다. 물어달라 부탁하는 채이에게 이준은 계약 연애를 제안하는데...",네이버 웹툰,"스토리, 로맨스",,,,,,
22,오늘의 순정망화,"월, 화, 목",손하기,손하기,그마고 초엘리트집단 삼국시대 앞에 나타난 전학생 가야! 가야의 마음을 얻는 건 누구?,네이버 웹툰,"에피소드, 개그",,,,,,
23,영앤리치가 아니야!,월,최삡뺩,최삡뺩,"공대생 너무만화 최삡ㅤㅃㅑㅂ 작가의 개그로맨스 신작! 모든 게 완벽한 퍼렁식품 의 아들 서민준. 어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다. 민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고? 사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",네이버 웹툰,"스토리, 개그",,,,,,
24,리턴 투 플레이어,월,인덱스,세혼,"어느 날, 게임이 되어버린 세상. 갑자기 나타난 몬스터들이 사람들을 죽이고, 사람들은 플레이어가 되어 퀘스트를 달성해야 한다! 인류의 종말에서 회귀한 2회차 플레이어, 김세한. 그는 과연 세상을 이렇게 만든 시스템 을 쳐부술 수 있을까!",네이버 웹툰,"스토리, 판타지",,,,,,
25,바퀴,월,나우원,오른손,"내 몸이 변하는 순간, 온 세상 사람들의 표적이 되었다. 신체가 점점 바퀴화 되어가는 한 남자의 생존 액션 스릴러",네이버 웹툰,"스토리, 스릴러",,,,,,
26,"아, 쫌 참으세요 영주님!",월,daybook,새우초밥,"작고 가난한 영지 화이트 의 영주, 로즈. 영주민들과 오순도순 잘 먹고 잘살고 싶었는데, 갑자기 이종족 이주민이 늘고 자꾸 사건에 휘말린다?! 막강 능력 영주님 로즈 와 그녀를 영지에 몰래몰래 숨겨 놓고 보호하고픈 스승, 대마법사 이그드라실 의 유쾌 발랄 로맨스 판타지!",네이버 웹툰,"스토리, 로맨스",,,,,,
27,평범한 8반,월,영파카,영파카,안 평범한 아이들이 모인 평범한 8반 고품격 웰메이드 병맛을 느껴보세요,네이버 웹툰,"스토리, 드라마",,,,,,
28,수영만화일기,"월, 목",해오,해오,"백수 겸 만화가지망생 해오, 저질체력에서 벗어나기 위해 수영에 도전! 작심삼일이리라는 예상과는 다르게 어느새 수영에 익숙해진다. 이게 대체 어떻게 된 일이야? 나 수영을 사랑하게 된 걸까? 그렇게 수영을 익혀가면서 점차 몸도 마음도 성장해나가는데 . 불확실한 미래를 안고 살아가지만, 해오는 오늘도 수영한다.",네이버 웹툰,"에피소드, 일상",,,,,,
29,아는 여자애,월,허니비,허니비,"어느날 갑자기 고등학생으로 돌아온 하영. 다시 한 번 기회가 주어진다면 첫사랑을 이룰 수 있을까? 내게는 운명, 그애에겐 아는 여자애",네이버 웹툰,"스토리, 로맨스",,,,,,
