title,writer,illustrator,genre,story,platform,thumb,url
나를 잡아먹지 말아줘,사하,"백지연, 철갑상어","로맨스, 판타지","“가격은 50억 마르카, 싸게 드리는 거예요.”
“과연, 헐값이군.”

남자 주인공에게 산 채로 잡아먹힐 운명을 타고난 ‘에르타’.
운명을 바꾸기 위해 그와의 결혼을 거래하다!

소설 속에서 환생했다. 그것도 19금 남성향 판타지 소설 속으로.
내가 환생한 ‘에르타’는,
원래 이야기대로라면 주인공 ‘자히드’에게 산 채로 잡아먹힌다.
하지만, 어린 동생들을 두고 그렇게 죽을 수는 없지.
날 잡아먹을 주인공에게 거래를 제안했다.
거래 대상은 나, 금액은 50억 마르카!
이제 내가 할 일은 주인공이 날 잡아먹기 전에 도망치는 것뿐이다.

나, 에르타는 과연
왕국 최고의 마법사 자히드의 손에서 벗어날 수 있을까?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=dR2IL/hyQ9MVPSGv/AvFsBXKWZpjyBfzUFsOvbK&filename=th2,https://page.kakao.com/home?seriesId=56403295
악녀가 사랑할 때,"붉구, HJ, 콩쭈,서귀조",대치동건물주,"로맨스, 판타지","시한부 인생을 사는 악녀에게 빙의했다. 

괜찮다. 병은 고칠 수 있으니까!
목표는 하고 싶은 걸 마음껏 하는 인생!

나는 먼저 좋아하던 소설 속 등장인물들 덕질을 하기로 했다.
그런데 나를 악녀라고 하던 주변 사람들 반응이 이상하다.

“당신은 곧 죽는데도… 어떻게 그렇게 웃으실 수 있는 겁니까.”

그야 네가 잘생겨서..?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=S1kxU/hyEdlYjRrz/e1OeuUKOpw07xau22O8N6k&filename=th2,https://page.kakao.com/home?seriesId=55602918
악역에게 정체를 들켜버렸다,차소희,CHARA,"로맨스, 판타지","검도 유망주에서 사고로 인해 평범한 삶을 살게 된 서은하는 귀가 중 교통사고를 당하고, 소설 <달의 노래>에서 멸문당해 죽는 조연 가문의 쌍둥이 누나 ‘셀레나’에 빙의한다. 셀레나는 에반 가문의 멸망을 막고 가족을 지키기 위해 노력하나, 결국 야반도주한 남동생 '셀레스틴' 대신에 기사단에 입대하게 되는데...?! 과연 그녀는 악역 황태자 ‘이그니스’의 눈에 띄지 않고 무사히 살아남을 수 있을까?

차소희 작가 원작 소설 웹툰화!


 [책빙의/남장여주/걸크러쉬/먼치킨여주/졸지에 악역의 히든카드가 되었다/집착남주/악역남주/흑막/계략남/그냥 조용히 살게 해 주세요]",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=c5Rppg/hyZ8x4a2JH/g7CJqH6ugfpbcTcpXKqvMk&filename=th2,https://page.kakao.com/home?seriesId=55402347
대리애인,"강장,온리온",강장,로맨스,"빨리 결혼해서 가족과 알콩달콩 사는 게
평생의 꿈이었던 해금은 결혼까지 4개월을 앞뒀다.

이제 완벽한 결혼식만을 남겨 두고 있는데.....
7년 사귄 남친이 바람이 났다.

엎친 데 덮친 격, 설상가상
결혼식 전까지 각자 연애를 하자는 충격적인 제안을 걸어온다!

남친의 피눈물이 보고 싶어서, 아니, 돌아오길 바라서
대리애인을 세우기로 했다.

5살 연하에, 동생 친구에, 태생부터 모든 조건이 완벽한 DNA 우월남으로!

그런데... 동생같았던 놈이 자꾸 남자 향기를 뿜으며
그녀의 가슴을 설레게 하는데?!

넌 단지 대리애인일 뿐인데,
난 결혼이 하고 싶은 여잔데, 자꾸 다가오면 어떡하라고?!

익숙한 사랑, 설레는 사랑, 무엇이 사랑이며
독신 그리고 결혼, 어떤 선택이 행복일까?

유쾌하게 질문을 던지고, 설레며 답을 찾는 섹시코미디 로맨스!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=9sPJG/hyZ8CQ2pTS/2d2OGBSTf1uT0IHvkGFcMk&filename=th2,https://page.kakao.com/home?seriesId=56734031
귀신 보는 공작부인,"꿀비,가람달",민삼,"로맨스, 판타지","귀신 보는 능력을 지닌 귀족 영애 쥴리아.
이 힘으로 막대한 부를 손에 넣겠어!
어느 날, 쥴리아에게 찾아온 에페시아 공국의 공왕 리오. 
""돈이 그렇게 좋으면 나랑 결혼해.""
솔직히 조금 혹하기는 하지만… 아직 연애도 못 해봤는데 결혼?
내 앞에서 백지수표를 흔들며 유혹하는 당신… 진짜 속셈이 뭐야?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bQFIpB/hy41O7P8AD/xKYykd1eseCQdn1NfEWPw1&filename=th2,https://page.kakao.com/home?seriesId=57153945
악당의 미학,이흰,김예작,"로맨스, 판타지","자기가 쓴 소설 속 이오네 공주로 빙의한 세헌.
하필이면 소설 속으로 들어온 날,
황제를 살해한 최고의 악당 에이나드와 마주친다.

""네가…작가라고?""

사람의 마음을 읽는 능력으로 그녀의 정체를 파악한 에이나드.
자신을 죽이려는 그에게 이오네는 거래를 제안한다.

""날 죽이면 당신은 내 동생 아르망에게 죽어요.""
""그래서?""
""내가 당신을 살릴게요. 절대 죽지 않게 할 거예요.""
""한 달 주지. 네 효용 가치를 증명해 봐.""

정체를 들킨 것도 모자라 얼떨결에
최고의 악당과 약혼까지 해버린 이오네.
하지만 에이나드는 점점 그녀에게 묘한 감정을 느끼고…

구애인지 협박인지 헷갈리는 그의 매력에
점점 빠져드는 이오네.
그녀는 목숨도 구하고 사랑도 얻을 수 있을까?


-------------------------------
*매주 목요일 00시 연재됩니다.*",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=iwjvv/hyZ8yvc4E6/rpf8JK9kHACMRabZ5IiKR1&filename=th2,https://page.kakao.com/home?seriesId=57321595
"공주, 선비를 탐하다",서은수,호산,로맨스,"공주 은명, 우연한 계기로 아무 목적 없이 
자신을 위해준 서율을 만나고 사랑에 빠진다.

그의 관심을 사기 위해, 그를 만나기 위해
피접을 핑계로 보령으로 향한다.

하지만 어째서인지 서율은 은명을 밀어내기만 하고
은명은 그런 서율이 답답하기만 하다.

하지만 포기하지 않고 그를 향해 마음을 표현하는데…

‘아무도 나를 믿어주지 않을 때,
그대만이 나를 위해 주었다.’

‘나의 의빈이 되어다오.’

‘그대에게 부귀영화를 보장하여 줄 것이다.’

조선 최고의 직진녀 은명 공주!
조선 최고의 철벽남 선비 서율의 마음을 얻을 수 있을까?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cRtsVf/hyZ8DiDMGm/6KEMtjfBn50nTR8Ze1rTJk&filename=th2,https://page.kakao.com/home?seriesId=57166747
눈이 나려 꽃,임해연,임해연,로맨스,"설석은 지방 하급관리의 딸로, 영민하고 눈치가 좋아 그 지방 상대부의 정실인 위 부인의 눈에 들어 그녀의 심부름을 해왔다. 위 부인은 설석에게 자신의 양자 진효의 첩이 되라 제안하고, 설석은 짝사랑해왔던 진효의 아내가 될 수 있단 생각에 설렌다. 하지만 진효는 다른 소꿉친구 필남과 이미 연인 사이였다. 설상가상으로, 설석은 재녀 후보에 선발되어 수라도-후궁에 발을 들여놓게 되는데…. 암투 속에서 피어오르는 권력과 사랑의 이중주!

임해연 작가님의 <눈이 나려 꽃>이 많은 독자분들의 성원에 힘입어 올컬러본 런칭!",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=cGwDCm/hyCvhWzqpw/TtfsO1231JbdiZNHSRUiA1&filename=th2,https://page.kakao.com/home?seriesId=53905289
무련전봉,막묵,벽가벽,"액션, 무협","제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. 
3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. 
그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데…… 

과연 ‘양준’은 그 서책을 통해 무도(武道)를 익히고, 험난하고 외로운 싸움에서 무도(武道)의 최고봉까지 올라설 수 있을 것인가?",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=bcSC27/hyCRfdqzwh/7zTlZUHyj50iUEd4kqJfyK&filename=th2,https://page.kakao.com/home?seriesId=53483967
업데이터,89line,89line,소년만화,"대장장이 NPC '에이든＇.
어느 날, 시스템 관리자로 인해 마을 전체가 삭제당하고,
유일한 가족인 여동생 ‘앨리스’와 함께 소멸하던 그는
그 찰나의 순간, 다짐했다.

반드시 내 손으로 이 시스템을 무너뜨리겠노라고.
그때였다…!

“관리자 권한을 획득했습니다. 관리자 Lv. 1”

관리자의 권한을 가지고 다시 깨어난 에이든.
관리자로서의 힘을 기르기 시작하는데...!!

에이든은 과연 어떤 존재가 될 것인가?!

2020년 “콘티왕으로 살아남기” 대상 수상작 <업데이터>",카카오페이지,http://dn-img-page.kakao.com/download/resource?kid=dVs4Ry/hySXG721BG/q3YMmsHR37x9IZ7G3haCY1&filename=th2,https://page.kakao.com/home?seriesId=56784912
